node1,node2,count
#Baptista_Shr,#Bianca_Shr,15
#Baptista_Shr,#Biondello_Shr,19
#Baptista_Shr,#Gremio_Shr,31
#Baptista_Shr,#Grumio_Shr,13
#Baptista_Shr,#Hortensio_Shr,18
#Baptista_Shr,#Katherine_Shr,15
#Baptista_Shr,#Merchant_Shr,16
#Baptista_Shr,#Officer_Shr,4
#Baptista_Shr,#Petruchio_Shr,22
#Baptista_Shr,#SERVANTS.BAPTISTA.1_Shr,1
#Baptista_Shr,#SERVANTS.BAPTISTA_Shr,12
#Baptista_Shr,#SERVANTS.PETRUCHIO_Shr,5
#Baptista_Shr,#SERVANTS_Shr,11
#Baptista_Shr,#Vincentio_Shr,15
#Baptista_Shr,#Widow_Shr,3
#Bianca_Shr,#Biondello_Shr,9
#Bianca_Shr,#Gremio_Shr,16
#Bianca_Shr,#Grumio_Shr,7
#Bianca_Shr,#Hortensio_Shr,9
#Bianca_Shr,#Katherine_Shr,11
#Bianca_Shr,#Merchant_Shr,4
#Bianca_Shr,#Officer_Shr,4
#Bianca_Shr,#Petruchio_Shr,8
#Bianca_Shr,#SERVANTS.BAPTISTA.1_Shr,1
#Bianca_Shr,#SERVANTS.BAPTISTA_Shr,10
#Bianca_Shr,#SERVANTS.PETRUCHIO_Shr,4
#Bianca_Shr,#SERVANTS_Shr,3
#Bianca_Shr,#Vincentio_Shr,5
#Bianca_Shr,#Widow_Shr,3
#Biondello_Shr,#Grumio_Shr,8
#Biondello_Shr,#Merchant_Shr,15
#Biondello_Shr,#Officer_Shr,1
#Biondello_Shr,#Petruchio_Shr,16
#Biondello_Shr,#SERVANTS.BAPTISTA.1_Shr,1
#Biondello_Shr,#SERVANTS.BAPTISTA_Shr,4
#Biondello_Shr,#SERVANTS.PETRUCHIO_Shr,2
#Biondello_Shr,#SERVANTS_Shr,9
#Biondello_Shr,#Vincentio_Shr,11
#Biondello_Shr,#Widow_Shr,3
#Curtis_Shr,#SERVANTS.PETRUCHIO.0.2_Shr,1
#Curtis_Shr,#SERVANTS.PETRUCHIO.0.4_Shr,1
#Curtis_Shr,#SERVANTS.PETRUCHIO.Joseph_Shr,2
#Curtis_Shr,#SERVANTS.PETRUCHIO.Nathaniel_Shr,3
#Curtis_Shr,#SERVANTS.PETRUCHIO.Nicholas_Shr,2
#Curtis_Shr,#SERVANTS.PETRUCHIO.Peter_Shr,3
#Curtis_Shr,#SERVANTS.PETRUCHIO.Phillip_Shr,2
#Gremio_Shr,#Biondello_Shr,21
#Gremio_Shr,#Grumio_Shr,22
#Gremio_Shr,#Hortensio_Shr,22
#Gremio_Shr,#Katherine_Shr,21
#Gremio_Shr,#Merchant_Shr,17
#Gremio_Shr,#Officer_Shr,6
#Gremio_Shr,#Petruchio_Shr,31
#Gremio_Shr,#SERVANTS.BAPTISTA.1_Shr,1
#Gremio_Shr,#SERVANTS.BAPTISTA_Shr,12
#Gremio_Shr,#SERVANTS.PETRUCHIO_Shr,12
#Gremio_Shr,#SERVANTS_Shr,11
#Gremio_Shr,#Vincentio_Shr,20
#Gremio_Shr,#Widow_Shr,3
#Grumio_Shr,#Curtis_Shr,4
#Grumio_Shr,#Haberdasher_Shr,1
#Grumio_Shr,#Merchant_Shr,12
#Grumio_Shr,#Officer_Shr,7
#Grumio_Shr,#Petruchio_Shr,31
#Grumio_Shr,#SERVANTS.BAPTISTA_Shr,7
#Grumio_Shr,#SERVANTS.PETRUCHIO.0.2_Shr,2
#Grumio_Shr,#SERVANTS.PETRUCHIO.0.4_Shr,2
#Grumio_Shr,#SERVANTS.PETRUCHIO.Joseph_Shr,2
#Grumio_Shr,#SERVANTS.PETRUCHIO.Nathaniel_Shr,4
#Grumio_Shr,#SERVANTS.PETRUCHIO.Nicholas_Shr,2
#Grumio_Shr,#SERVANTS.PETRUCHIO.Peter_Shr,4
#Grumio_Shr,#SERVANTS.PETRUCHIO.Phillip_Shr,2
#Grumio_Shr,#SERVANTS.PETRUCHIO_Shr,13
#Grumio_Shr,#SERVANTS_Shr,6
#Grumio_Shr,#Tailor_Shr,3
#Grumio_Shr,#Vincentio_Shr,15
#Grumio_Shr,#Widow_Shr,1
#HUNTSMEN.0.2_Shr,#HUNTSMEN.0.3_Shr,7
#HUNTSMEN.0.2_Shr,#PLAYERS.0.1_Shr,3
#HUNTSMEN.0.2_Shr,#PLAYERS.0.2_Shr,2
#HUNTSMEN.0.2_Shr,#PLAYERS_Shr,3
#HUNTSMEN.0.2_Shr,#SERVANTS.LORD.0.1_Shr,4
#HUNTSMEN.0.3_Shr,#PLAYERS.0.1_Shr,3
#HUNTSMEN.0.3_Shr,#PLAYERS.0.2_Shr,2
#HUNTSMEN.0.3_Shr,#PLAYERS_Shr,3
#HUNTSMEN.0.3_Shr,#SERVANTS.LORD.0.1_Shr,4
#HUNTSMEN_Shr,#HUNTSMEN.0.1_Shr,1
#HUNTSMEN_Shr,#HUNTSMEN.0.2_Shr,2
#HUNTSMEN_Shr,#HUNTSMEN.0.3_Shr,1
#HUNTSMEN_Shr,#Lord_Shr,5
#HUNTSMEN_Shr,#SERVANTS.LORD_Shr,5
#Hortensio_Shr,#Biondello_Shr,13
#Hortensio_Shr,#Grumio_Shr,15
#Hortensio_Shr,#Haberdasher_Shr,1
#Hortensio_Shr,#Katherine_Shr,14
#Hortensio_Shr,#Merchant_Shr,11
#Hortensio_Shr,#Petruchio_Shr,24
#Hortensio_Shr,#SERVANTS.BAPTISTA.1_Shr,2
#Hortensio_Shr,#SERVANTS.BAPTISTA_Shr,2
#Hortensio_Shr,#SERVANTS.PETRUCHIO_Shr,2
#Hortensio_Shr,#SERVANTS_Shr,11
#Hortensio_Shr,#Tailor_Shr,3
#Hortensio_Shr,#Vincentio_Shr,12
#Hortensio_Shr,#Widow_Shr,3
#Hostess_Shr,#Sly_Shr,1
#Katherine_Shr,#Biondello_Shr,5
#Katherine_Shr,#Curtis_Shr,1
#Katherine_Shr,#Grumio_Shr,22
#Katherine_Shr,#Haberdasher_Shr,1
#Katherine_Shr,#Merchant_Shr,9
#Katherine_Shr,#Officer_Shr,7
#Katherine_Shr,#Petruchio_Shr,32
#Katherine_Shr,#SERVANTS.BAPTISTA_Shr,7
#Katherine_Shr,#SERVANTS.PETRUCHIO.0.2_Shr,3
#Katherine_Shr,#SERVANTS.PETRUCHIO.0.4_Shr,2
#Katherine_Shr,#SERVANTS.PETRUCHIO.Joseph_Shr,1
#Katherine_Shr,#SERVANTS.PETRUCHIO.Nathaniel_Shr,1
#Katherine_Shr,#SERVANTS.PETRUCHIO.Nicholas_Shr,1
#Katherine_Shr,#SERVANTS.PETRUCHIO.Peter_Shr,4
#Katherine_Shr,#SERVANTS.PETRUCHIO.Phillip_Shr,1
#Katherine_Shr,#SERVANTS.PETRUCHIO_Shr,18
#Katherine_Shr,#SERVANTS_Shr,3
#Katherine_Shr,#Tailor_Shr,3
#Katherine_Shr,#Vincentio_Shr,13
#Katherine_Shr,#Widow_Shr,2
#Lord_Shr,#HUNTSMEN.0.1_Shr,1
#Lord_Shr,#HUNTSMEN.0.2_Shr,8
#Lord_Shr,#HUNTSMEN.0.3_Shr,7
#Lord_Shr,#Messenger_Shr,1
#Lord_Shr,#PLAYERS.0.1_Shr,3
#Lord_Shr,#PLAYERS.0.2_Shr,2
#Lord_Shr,#PLAYERS_Shr,3
#Lord_Shr,#Page_Shr,3
#Lord_Shr,#SERVANTS.LORD.0.1_Shr,10
#Lord_Shr,#SERVANTS.LORD.0.2_Shr,5
#Lord_Shr,#SERVANTS.LORD.0.3_Shr,4
#Lord_Shr,#SERVANTS.LORD.0_Shr,3
#Lord_Shr,#SERVANTS.LORD_Shr,18
#Lucentio_Shr,#Baptista_Shr,26
#Lucentio_Shr,#Bianca_Shr,21
#Lucentio_Shr,#Biondello_Shr,21
#Lucentio_Shr,#Gremio_Shr,32
#Lucentio_Shr,#Grumio_Shr,14
#Lucentio_Shr,#Hortensio_Shr,24
#Lucentio_Shr,#Katherine_Shr,12
#Lucentio_Shr,#Merchant_Shr,13
#Lucentio_Shr,#Officer_Shr,4
#Lucentio_Shr,#Petruchio_Shr,20
#Lucentio_Shr,#SERVANTS.BAPTISTA.1_Shr,2
#Lucentio_Shr,#SERVANTS.BAPTISTA_Shr,10
#Lucentio_Shr,#SERVANTS.PETRUCHIO_Shr,4
#Lucentio_Shr,#SERVANTS_Shr,11
#Lucentio_Shr,#Tranio_Shr,35
#Lucentio_Shr,#Vincentio_Shr,13
#Lucentio_Shr,#Widow_Shr,3
#Merchant_Shr,#Officer_Shr,2
#Merchant_Shr,#SERVANTS.PETRUCHIO_Shr,6
#Merchant_Shr,#SERVANTS_Shr,11
#Merchant_Shr,#Vincentio_Shr,17
#Merchant_Shr,#Widow_Shr,3
#Officer_Shr,#SERVANTS.PETRUCHIO_Shr,7
#Officer_Shr,#Vincentio_Shr,3
#PLAYERS.0.1_Shr,#PLAYERS.0.2_Shr,2
#PLAYERS_Shr,#PLAYERS.0.1_Shr,2
#PLAYERS_Shr,#PLAYERS.0.2_Shr,1
#Page_Shr,#Messenger_Shr,1
#Page_Shr,#SERVANTS.LORD.0_Shr,3
#Petruchio_Shr,#Curtis_Shr,1
#Petruchio_Shr,#Haberdasher_Shr,1
#Petruchio_Shr,#Merchant_Shr,16
#Petruchio_Shr,#Officer_Shr,7
#Petruchio_Shr,#SERVANTS.BAPTISTA.1_Shr,1
#Petruchio_Shr,#SERVANTS.BAPTISTA_Shr,7
#Petruchio_Shr,#SERVANTS.PETRUCHIO.0.2_Shr,4
#Petruchio_Shr,#SERVANTS.PETRUCHIO.0.4_Shr,3
#Petruchio_Shr,#SERVANTS.PETRUCHIO.Joseph_Shr,1
#Petruchio_Shr,#SERVANTS.PETRUCHIO.Nathaniel_Shr,1
#Petruchio_Shr,#SERVANTS.PETRUCHIO.Nicholas_Shr,1
#Petruchio_Shr,#SERVANTS.PETRUCHIO.Peter_Shr,4
#Petruchio_Shr,#SERVANTS.PETRUCHIO.Phillip_Shr,1
#Petruchio_Shr,#SERVANTS.PETRUCHIO_Shr,18
#Petruchio_Shr,#SERVANTS_Shr,10
#Petruchio_Shr,#Tailor_Shr,3
#Petruchio_Shr,#Vincentio_Shr,20
#Petruchio_Shr,#Widow_Shr,2
#SERVANTS.BAPTISTA_Shr,#Merchant_Shr,3
#SERVANTS.BAPTISTA_Shr,#Officer_Shr,4
#SERVANTS.BAPTISTA_Shr,#SERVANTS.PETRUCHIO_Shr,5
#SERVANTS.BAPTISTA_Shr,#Vincentio_Shr,4
#SERVANTS.LORD.0.1_Shr,#Messenger_Shr,1
#SERVANTS.LORD.0.1_Shr,#PLAYERS.0.1_Shr,2
#SERVANTS.LORD.0.1_Shr,#PLAYERS.0.2_Shr,1
#SERVANTS.LORD.0.1_Shr,#PLAYERS_Shr,3
#SERVANTS.LORD.0.1_Shr,#Page_Shr,4
#SERVANTS.LORD.0.1_Shr,#SERVANTS.LORD.0.2_Shr,5
#SERVANTS.LORD.0.1_Shr,#SERVANTS.LORD.0.3_Shr,4
#SERVANTS.LORD.0.1_Shr,#SERVANTS.LORD.0_Shr,3
#SERVANTS.LORD.0.2_Shr,#Messenger_Shr,1
#SERVANTS.LORD.0.2_Shr,#Page_Shr,3
#SERVANTS.LORD.0.2_Shr,#SERVANTS.LORD.0.3_Shr,4
#SERVANTS.LORD.0.2_Shr,#SERVANTS.LORD.0_Shr,3
#SERVANTS.LORD.0.3_Shr,#Messenger_Shr,1
#SERVANTS.LORD.0.3_Shr,#Page_Shr,3
#SERVANTS.LORD.0.3_Shr,#SERVANTS.LORD.0_Shr,3
#SERVANTS.LORD.0_Shr,#Messenger_Shr,1
#SERVANTS.LORD_Shr,#HUNTSMEN.0.1_Shr,1
#SERVANTS.LORD_Shr,#HUNTSMEN.0.2_Shr,8
#SERVANTS.LORD_Shr,#HUNTSMEN.0.3_Shr,7
#SERVANTS.LORD_Shr,#Messenger_Shr,1
#SERVANTS.LORD_Shr,#PLAYERS.0.1_Shr,3
#SERVANTS.LORD_Shr,#PLAYERS.0.2_Shr,2
#SERVANTS.LORD_Shr,#PLAYERS_Shr,3
#SERVANTS.LORD_Shr,#Page_Shr,3
#SERVANTS.LORD_Shr,#SERVANTS.LORD.0.1_Shr,10
#SERVANTS.LORD_Shr,#SERVANTS.LORD.0.2_Shr,5
#SERVANTS.LORD_Shr,#SERVANTS.LORD.0.3_Shr,4
#SERVANTS.LORD_Shr,#SERVANTS.LORD.0_Shr,3
#SERVANTS.PETRUCHIO.0.2_Shr,#SERVANTS.PETRUCHIO.0.4_Shr,5
#SERVANTS.PETRUCHIO.Joseph_Shr,#SERVANTS.PETRUCHIO.Nathaniel_Shr,2
#SERVANTS.PETRUCHIO.Joseph_Shr,#SERVANTS.PETRUCHIO.Nicholas_Shr,2
#SERVANTS.PETRUCHIO.Joseph_Shr,#SERVANTS.PETRUCHIO.Peter_Shr,2
#SERVANTS.PETRUCHIO.Joseph_Shr,#SERVANTS.PETRUCHIO.Phillip_Shr,2
#SERVANTS.PETRUCHIO.Nathaniel_Shr,#SERVANTS.PETRUCHIO.0.2_Shr,2
#SERVANTS.PETRUCHIO.Nathaniel_Shr,#SERVANTS.PETRUCHIO.0.4_Shr,2
#SERVANTS.PETRUCHIO.Nathaniel_Shr,#SERVANTS.PETRUCHIO.Nicholas_Shr,2
#SERVANTS.PETRUCHIO.Nathaniel_Shr,#SERVANTS.PETRUCHIO.Peter_Shr,4
#SERVANTS.PETRUCHIO.Nathaniel_Shr,#SERVANTS.PETRUCHIO.Phillip_Shr,2
#SERVANTS.PETRUCHIO.Nicholas_Shr,#SERVANTS.PETRUCHIO.Peter_Shr,2
#SERVANTS.PETRUCHIO.Nicholas_Shr,#SERVANTS.PETRUCHIO.Phillip_Shr,2
#SERVANTS.PETRUCHIO.Peter_Shr,#SERVANTS.PETRUCHIO.0.2_Shr,4
#SERVANTS.PETRUCHIO.Peter_Shr,#SERVANTS.PETRUCHIO.0.4_Shr,3
#SERVANTS.PETRUCHIO.Peter_Shr,#SERVANTS.PETRUCHIO.Phillip_Shr,2
#SERVANTS.PETRUCHIO_Shr,#SERVANTS.PETRUCHIO.0.2_Shr,2
#SERVANTS.PETRUCHIO_Shr,#SERVANTS.PETRUCHIO.0.4_Shr,1
#SERVANTS.PETRUCHIO_Shr,#SERVANTS.PETRUCHIO.Peter_Shr,3
#SERVANTS.PETRUCHIO_Shr,#Vincentio_Shr,10
#SERVANTS_Shr,#Widow_Shr,3
#Sly_Shr,#HUNTSMEN.0.1_Shr,1
#Sly_Shr,#HUNTSMEN.0.2_Shr,2
#Sly_Shr,#HUNTSMEN.0.3_Shr,1
#Sly_Shr,#HUNTSMEN_Shr,5
#Sly_Shr,#Lord_Shr,12
#Sly_Shr,#Messenger_Shr,1
#Sly_Shr,#Page_Shr,4
#Sly_Shr,#SERVANTS.LORD.0.1_Shr,8
#Sly_Shr,#SERVANTS.LORD.0.2_Shr,5
#Sly_Shr,#SERVANTS.LORD.0.3_Shr,4
#Sly_Shr,#SERVANTS.LORD.0_Shr,3
#Sly_Shr,#SERVANTS.LORD_Shr,12
#Tailor_Shr,#Haberdasher_Shr,1
#Tranio_Shr,#Baptista_Shr,31
#Tranio_Shr,#Bianca_Shr,15
#Tranio_Shr,#Biondello_Shr,24
#Tranio_Shr,#Gremio_Shr,34
#Tranio_Shr,#Grumio_Shr,12
#Tranio_Shr,#Hortensio_Shr,23
#Tranio_Shr,#Katherine_Shr,12
#Tranio_Shr,#Merchant_Shr,19
#Tranio_Shr,#Officer_Shr,2
#Tranio_Shr,#Petruchio_Shr,21
#Tranio_Shr,#SERVANTS.BAPTISTA.1_Shr,1
#Tranio_Shr,#SERVANTS.BAPTISTA_Shr,10
#Tranio_Shr,#SERVANTS.PETRUCHIO_Shr,3
#Tranio_Shr,#SERVANTS_Shr,11
#Tranio_Shr,#Vincentio_Shr,14
#Tranio_Shr,#Widow_Shr,3
#Vincentio_Shr,#SERVANTS_Shr,11
#Vincentio_Shr,#Widow_Shr,3
