node,n_tokens_onstage,n_tokens_speaker,n_lines_onstage,n_lines_speaker
#Baptista_Shr,6496,1289,884,183
#Bianca_Shr,4442,544,605,70
#Biondello_Shr,5326,817,724,115
#Curtis_Shr,905,170,128,28
#Gremio_Shr,8210,1329,1109,172
#Grumio_Shr,7292,1454,988,177
#HUNTSMEN.0.1_Shr,70,38,9,5
#HUNTSMEN.0.2_Shr,845,29,112,3
#HUNTSMEN.0.3_Shr,759,36,101,4
#HUNTSMEN_Shr,474,0,61,0
#Haberdasher_Shr,208,8,25,1
#Hortensio_Shr,8662,1575,1145,214
#Hostess_Shr,73,26,12,5
#Katherine_Shr,7168,1761,970,224
#Lord_Shr,2135,1059,276,142
#Lucentio_Shr,9084,1371,1230,193
#Merchant_Shr,3061,377,426,58
#Messenger_Shr,68,61,10,9
#Officer_Shr,413,0,63,0
#PLAYERS.0.1_Shr,440,24,58,3
#PLAYERS.0.2_Shr,393,8,52,1
#PLAYERS_Shr,194,4,26,1
#Page_Shr,359,122,50,16
#Petruchio_Shr,10298,4609,1383,606
#SERVANTS.BAPTISTA.1_Shr,60,23,8,3
#SERVANTS.BAPTISTA_Shr,2032,0,282,0
#SERVANTS.LORD.0.1_Shr,1412,142,182,18
#SERVANTS.LORD.0.2_Shr,1144,103,145,12
#SERVANTS.LORD.0.3_Shr,1135,99,144,12
#SERVANTS.LORD.0_Shr,342,0,47,0
#SERVANTS.LORD_Shr,2135,1,276,1
#SERVANTS.PETRUCHIO.0.2_Shr,501,0,66,0
#SERVANTS.PETRUCHIO.0.4_Shr,416,1,54,1
#SERVANTS.PETRUCHIO.Joseph_Shr,221,7,34,2
#SERVANTS.PETRUCHIO.Nathaniel_Shr,282,27,43,6
#SERVANTS.PETRUCHIO.Nicholas_Shr,221,7,34,2
#SERVANTS.PETRUCHIO.Peter_Shr,490,13,74,3
#SERVANTS.PETRUCHIO.Phillip_Shr,221,8,34,2
#SERVANTS.PETRUCHIO_Shr,1797,0,260,0
#SERVANTS_Shr,1491,0,206,0
#Sly_Shr,1764,522,228,66
#Tailor_Shr,837,111,111,17
#Tranio_Shr,9865,2262,1317,302
#Vincentio_Shr,2735,346,389,49
#Widow_Shr,951,76,125,12
