act,scene,stagegroup,speaker,onstage,n_tokens,n_lines
1,1,1,#Boatswain_Tmp,#Boatswain_Tmp #Shipmaster_Tmp,4,1
1,1,1,#Shipmaster_Tmp,#Boatswain_Tmp #Shipmaster_Tmp,17,3
1,1,2,#Boatswain_Tmp,#Boatswain_Tmp #SAILORS_Tmp,27,4
1,1,3,#Alonso_Tmp,#Alonso_Tmp #Antonio_Tmp #Boatswain_Tmp #Ferdinand_Tmp #Gonzalo_Tmp #SAILORS_Tmp #Sebastian_Tmp,10,2
1,1,3,#Antonio_Tmp,#Alonso_Tmp #Antonio_Tmp #Boatswain_Tmp #Ferdinand_Tmp #Gonzalo_Tmp #SAILORS_Tmp #Sebastian_Tmp,5,1
1,1,3,#Boatswain_Tmp,#Alonso_Tmp #Antonio_Tmp #Boatswain_Tmp #Ferdinand_Tmp #Gonzalo_Tmp #SAILORS_Tmp #Sebastian_Tmp,114,14
1,1,3,#Gonzalo_Tmp,#Alonso_Tmp #Antonio_Tmp #Boatswain_Tmp #Ferdinand_Tmp #Gonzalo_Tmp #SAILORS_Tmp #Sebastian_Tmp,11,3
1,1,4,#Gonzalo_Tmp,#Alonso_Tmp #Antonio_Tmp #Ferdinand_Tmp #Gonzalo_Tmp #SAILORS_Tmp #Sebastian_Tmp,53,6
1,1,5,#Boatswain_Tmp,#Boatswain_Tmp #SAILORS_Tmp,29,4
1,1,6,#Antonio_Tmp,#Antonio_Tmp #Boatswain_Tmp #Gonzalo_Tmp #SAILORS_Tmp #Sebastian_Tmp,17,3
1,1,6,#Boatswain_Tmp,#Antonio_Tmp #Boatswain_Tmp #Gonzalo_Tmp #SAILORS_Tmp #Sebastian_Tmp,36,5
1,1,6,#Gonzalo_Tmp,#Antonio_Tmp #Boatswain_Tmp #Gonzalo_Tmp #SAILORS_Tmp #Sebastian_Tmp,21,3
1,1,6,#SAILORS_Tmp,#Antonio_Tmp #Boatswain_Tmp #Gonzalo_Tmp #SAILORS_Tmp #Sebastian_Tmp,8,1
1,1,6,#Sebastian_Tmp,#Antonio_Tmp #Boatswain_Tmp #Gonzalo_Tmp #SAILORS_Tmp #Sebastian_Tmp,10,2
1,1,7,#Antonio_Tmp,#Antonio_Tmp #Boatswain_Tmp #Gonzalo_Tmp #Sebastian_Tmp,22,3
1,1,7,#Boatswain_Tmp,#Antonio_Tmp #Boatswain_Tmp #Gonzalo_Tmp #Sebastian_Tmp,6,1
1,1,7,#Gonzalo_Tmp,#Antonio_Tmp #Boatswain_Tmp #Gonzalo_Tmp #Sebastian_Tmp,15,2
1,1,7,#Sebastian_Tmp,#Antonio_Tmp #Boatswain_Tmp #Gonzalo_Tmp #Sebastian_Tmp,5,1
1,1,8,#Antonio_Tmp,#Antonio_Tmp #Gonzalo_Tmp #Sebastian_Tmp,6,1
1,1,8,#Gonzalo_Tmp,#Antonio_Tmp #Gonzalo_Tmp #Sebastian_Tmp,19,2
1,1,8,#Sebastian_Tmp,#Antonio_Tmp #Gonzalo_Tmp #Sebastian_Tmp,5,1
1,1,9,#Gonzalo_Tmp,#Gonzalo_Tmp,33,4
1,2,10,#Miranda_Tmp,#Miranda_Tmp #Prospero_Tmp,342,55
1,2,10,#Prospero_Tmp,#Miranda_Tmp #Prospero_Tmp,1198,168
1,2,11,#Ariel_Tmp,#Ariel_Tmp #Miranda_Tmp #Prospero_Tmp,448,68
1,2,11,#Prospero_Tmp,#Ariel_Tmp #Miranda_Tmp #Prospero_Tmp,511,71
1,2,12,#Miranda_Tmp,#Miranda_Tmp #Prospero_Tmp,20,4
1,2,12,#Prospero_Tmp,#Miranda_Tmp #Prospero_Tmp,56,10
1,2,13,#Caliban_Tmp,#Caliban_Tmp #Miranda_Tmp #Prospero_Tmp,4,1
1,2,13,#Prospero_Tmp,#Caliban_Tmp #Miranda_Tmp #Prospero_Tmp,13,2
1,2,14,#Ariel_Tmp,#Ariel_Tmp #Caliban_Tmp #Miranda_Tmp #Prospero_Tmp,6,1
1,2,14,#Prospero_Tmp,#Ariel_Tmp #Caliban_Tmp #Miranda_Tmp #Prospero_Tmp,9,2
1,2,15,#Caliban_Tmp,#Caliban_Tmp #Miranda_Tmp #Prospero_Tmp,230,31
1,2,15,#Miranda_Tmp,#Caliban_Tmp #Miranda_Tmp #Prospero_Tmp,95,15
1,2,15,#Prospero_Tmp,#Caliban_Tmp #Miranda_Tmp #Prospero_Tmp,154,23
1,2,16,#Ariel_Tmp,#Ariel_Tmp #Ferdinand_Tmp #Miranda_Tmp #Prospero_Tmp,104,23
1,2,16,#Ferdinand_Tmp,#Ariel_Tmp #Ferdinand_Tmp #Miranda_Tmp #Prospero_Tmp,334,45
1,2,16,#Miranda_Tmp,#Ariel_Tmp #Ferdinand_Tmp #Miranda_Tmp #Prospero_Tmp,169,30
1,2,16,#Prospero_Tmp,#Ariel_Tmp #Ferdinand_Tmp #Miranda_Tmp #Prospero_Tmp,413,64
2,1,17,#Adrian_Tmp,#Adrian_Tmp #Alonso_Tmp #Antonio_Tmp #Francisco_Tmp #Gonzalo_Tmp #Sebastian_Tmp,60,12
2,1,17,#Alonso_Tmp,#Adrian_Tmp #Alonso_Tmp #Antonio_Tmp #Francisco_Tmp #Gonzalo_Tmp #Sebastian_Tmp,92,14
2,1,17,#Antonio_Tmp,#Adrian_Tmp #Alonso_Tmp #Antonio_Tmp #Francisco_Tmp #Gonzalo_Tmp #Sebastian_Tmp,187,35
