node,n_tokens_onstage,n_tokens_speaker,n_lines_onstage,n_lines_speaker
#Adrian_Tmp,5413,64,824,13
#Alonso_Tmp,5539,749,840,115
#Antonio_Tmp,5724,991,868,150
#Ariel_Tmp,5697,1277,843,202
#Boatswain_Tmp,1199,353,174,48
#Caliban_Tmp,3999,1351,550,180
#Ferdinand_Tmp,4409,982,660,141
#Francisco_Tmp,5413,79,824,11
#Gonzalo_Tmp,5809,1157,879,170
#Miranda_Tmp,7181,1014,1069,159
#Prospero_Tmp,10121,4712,1498,679
#SAILORS_Tmp,341,8,48,1
#SPIRITS.Ceres_Tmp,473,155,75,24
#SPIRITS.Iris_Tmp,595,297,92,44
#SPIRITS.Juno_Tmp,277,41,45,7
#SPIRITS.NYMPHS_Tmp,60,0,9,0
#SPIRITS.REAPERS_Tmp,29,0,4,0
#SPIRITS_Tmp,179,0,29,0
#Sebastian_Tmp,5724,699,868,124
#Shipmaster_Tmp,863,17,125,3
#Stephano_Tmp,3105,1312,433,181
#Trinculo_Tmp,3344,816,458,109
