node,node_type
#Adrian_Tmp,character
#Alonso_Tmp,character
#Antonio_Tmp,character
#Ariel_Tmp,character
#Boatswain_Tmp,character
#Caliban_Tmp,character
#Ferdinand_Tmp,character
#Francisco_Tmp,character
#Gonzalo_Tmp,character
#Miranda_Tmp,character
#Prospero_Tmp,character
#SAILORS_Tmp,character
#SPIRITS.Ceres_Tmp,character
#SPIRITS.Iris_Tmp,character
#SPIRITS.Juno_Tmp,character
#SPIRITS.NYMPHS_Tmp,character
#SPIRITS.REAPERS_Tmp,character
#SPIRITS_Tmp,character
#Sebastian_Tmp,character
#Shipmaster_Tmp,character
#Stephano_Tmp,character
#Trinculo_Tmp,character
1.01.0001,text_unit
1.01.0002,text_unit
1.01.0003,text_unit
1.01.0004,text_unit
1.01.0005,text_unit
1.01.0006,text_unit
1.01.0007,text_unit
1.01.0008,text_unit
1.01.0009,text_unit
1.02.0010,text_unit
1.02.0011,text_unit
1.02.0012,text_unit
1.02.0013,text_unit
1.02.0014,text_unit
1.02.0015,text_unit
1.02.0016,text_unit
2.01.0017,text_unit
2.01.0018,text_unit
2.01.0019,text_unit
2.01.0020,text_unit
2.02.0021,text_unit
2.02.0022,text_unit
2.02.0023,text_unit
3.01.0024,text_unit
3.01.0025,text_unit
3.01.0026,text_unit
3.02.0027,text_unit
3.02.0028,text_unit
3.03.0029,text_unit
3.03.0030,text_unit
3.03.0031,text_unit
3.03.0032,text_unit
3.03.0033,text_unit
3.03.0034,text_unit
3.03.0035,text_unit
3.03.0036,text_unit
3.03.0037,text_unit
4.01.0038,text_unit
4.01.0039,text_unit
4.01.0040,text_unit
4.01.0041,text_unit
4.01.0042,text_unit
4.01.0043,text_unit
4.01.0044,text_unit
4.01.0045,text_unit
4.01.0046,text_unit
4.01.0047,text_unit
4.01.0048,text_unit
4.01.0049,text_unit
4.01.0050,text_unit
4.01.0051,text_unit
4.01.0052,text_unit
5.01.0053,text_unit
5.01.0054,text_unit
5.01.0055,text_unit
5.01.0056,text_unit
5.01.0057,text_unit
5.01.0058,text_unit
5.01.0059,text_unit
5.01.0060,text_unit
5.01.0061,text_unit
6.00.0062,text_unit
