node1,node2,key,act,scene,stagegroup,n_tokens,n_lines,edge_index
#Proteus_TGV,#Valentine_TGV,0,1,1,1,484,64,1
#Proteus_TGV,#Speed_TGV,0,1,1,3,573,81,3
#Julia_TGV,#Lucetta_TGV,0,1,2,5,386,52,5
#Julia_TGV,#Lucetta_TGV,1,1,2,7,287,41,7
#Julia_TGV,#Lucetta_TGV,2,1,2,9,81,10,9
#Antonio_TGV,#Pantino_TGV,0,1,3,10,316,44,10
#Antonio_TGV,#Pantino_TGV,1,1,3,11,256,34,11
#Proteus_TGV,#Antonio_TGV,0,1,3,11,256,34,11
#Proteus_TGV,#Pantino_TGV,0,1,3,11,256,34,11
#Proteus_TGV,#Pantino_TGV,1,1,3,13,32,4,13
#Valentine_TGV,#Speed_TGV,0,2,1,14,662,93,14
#Speed_TGV,#Sylvia_TGV,0,2,1,15,286,42,15
#Valentine_TGV,#Speed_TGV,1,2,1,15,286,42,15
#Valentine_TGV,#Sylvia_TGV,0,2,1,15,286,42,15
#Valentine_TGV,#Speed_TGV,2,2,1,16,290,45,16
#Proteus_TGV,#Julia_TGV,0,2,2,17,116,16,17
#Proteus_TGV,#Pantino_TGV,2,2,2,19,18,3,19
#Crab_TGV,#Lance_TGV,0,2,3,20,341,34,20
#Crab_TGV,#Lance_TGV,1,2,3,21,196,28,21
#Pantino_TGV,#Crab_TGV,0,2,3,21,196,28,21
#Pantino_TGV,#Lance_TGV,0,2,3,21,196,28,21
#Speed_TGV,#Sylvia_TGV,1,2,4,22,249,47,22
#Speed_TGV,#Thurio_TGV,0,2,4,22,249,47,22
#Sylvia_TGV,#Thurio_TGV,0,2,4,22,249,47,22
#Valentine_TGV,#Speed_TGV,3,2,4,22,249,47,22
#Valentine_TGV,#Sylvia_TGV,1,2,4,22,249,47,22
#Valentine_TGV,#Thurio_TGV,0,2,4,22,249,47,22
#Speed_TGV,#Duke_TGV,0,2,4,23,293,39,23
#Speed_TGV,#Sylvia_TGV,2,2,4,23,293,39,23
#Speed_TGV,#Thurio_TGV,1,2,4,23,293,39,23
#Sylvia_TGV,#Duke_TGV,0,2,4,23,293,39,23
#Sylvia_TGV,#Thurio_TGV,1,2,4,23,293,39,23
#Thurio_TGV,#Duke_TGV,0,2,4,23,293,39,23
#Valentine_TGV,#Duke_TGV,0,2,4,23,293,39,23
#Valentine_TGV,#Speed_TGV,4,2,4,23,293,39,23
#Valentine_TGV,#Sylvia_TGV,2,2,4,23,293,39,23
#Valentine_TGV,#Thurio_TGV,1,2,4,23,293,39,23
#Speed_TGV,#Sylvia_TGV,3,2,4,24,107,13,24
#Speed_TGV,#Thurio_TGV,2,2,4,24,107,13,24
#Sylvia_TGV,#Thurio_TGV,2,2,4,24,107,13,24
#Valentine_TGV,#Speed_TGV,5,2,4,24,107,13,24
#Valentine_TGV,#Sylvia_TGV,3,2,4,24,107,13,24
#Valentine_TGV,#Thurio_TGV,2,2,4,24,107,13,24
#Proteus_TGV,#Speed_TGV,1,2,4,25,127,17,25
#Proteus_TGV,#Sylvia_TGV,0,2,4,25,127,17,25
#Proteus_TGV,#Thurio_TGV,0,2,4,25,127,17,25
#Proteus_TGV,#Valentine_TGV,1,2,4,25,127,17,25
#Speed_TGV,#Sylvia_TGV,4,2,4,25,127,17,25
#Speed_TGV,#Thurio_TGV,3,2,4,25,127,17,25
#Sylvia_TGV,#Thurio_TGV,3,2,4,25,127,17,25
#Valentine_TGV,#Speed_TGV,6,2,4,25,127,17,25
#Valentine_TGV,#Sylvia_TGV,4,2,4,25,127,17,25
#Valentine_TGV,#Thurio_TGV,3,2,4,25,127,17,25
#Proteus_TGV,#SERVANTS.1_TGV,0,2,4,26,14,2,26
#Proteus_TGV,#Speed_TGV,2,2,4,26,14,2,26
#Proteus_TGV,#Sylvia_TGV,1,2,4,26,14,2,26
#Proteus_TGV,#Thurio_TGV,1,2,4,26,14,2,26
#Proteus_TGV,#Valentine_TGV,2,2,4,26,14,2,26
#Speed_TGV,#SERVANTS.1_TGV,0,2,4,26,14,2,26
#Speed_TGV,#Sylvia_TGV,5,2,4,26,14,2,26
#Speed_TGV,#Thurio_TGV,4,2,4,26,14,2,26
#Sylvia_TGV,#SERVANTS.1_TGV,0,2,4,26,14,2,26
#Sylvia_TGV,#Thurio_TGV,4,2,4,26,14,2,26
#Thurio_TGV,#SERVANTS.1_TGV,0,2,4,26,14,2,26
#Valentine_TGV,#SERVANTS.1_TGV,0,2,4,26,14,2,26
#Valentine_TGV,#Speed_TGV,7,2,4,26,14,2,26
#Valentine_TGV,#Sylvia_TGV,5,2,4,26,14,2,26
#Valentine_TGV,#Thurio_TGV,4,2,4,26,14,2,26
#Proteus_TGV,#Speed_TGV,3,2,4,27,35,6,27
#Proteus_TGV,#Sylvia_TGV,2,2,4,27,35,6,27
#Proteus_TGV,#Thurio_TGV,2,2,4,27,35,6,27
#Proteus_TGV,#Valentine_TGV,3,2,4,27,35,6,27
#Speed_TGV,#Sylvia_TGV,6,2,4,27,35,6,27
#Speed_TGV,#Thurio_TGV,5,2,4,27,35,6,27
#Sylvia_TGV,#Thurio_TGV,5,2,4,27,35,6,27
#Valentine_TGV,#Speed_TGV,8,2,4,27,35,6,27
#Valentine_TGV,#Sylvia_TGV,6,2,4,27,35,6,27
#Valentine_TGV,#Thurio_TGV,5,2,4,27,35,6,27
#Proteus_TGV,#Speed_TGV,4,2,4,28,546,78,28
#Proteus_TGV,#Valentine_TGV,4,2,4,28,546,78,28
#Valentine_TGV,#Speed_TGV,9,2,4,28,546,78,28
#Crab_TGV,#Lance_TGV,2,2,5,30,376,53,30
#Speed_TGV,#Crab_TGV,0,2,5,30,376,53,30
#Speed_TGV,#Lance_TGV,0,2,5,30,376,53,30
#Julia_TGV,#Lucetta_TGV,3,2,7,32,706,90,32
#Proteus_TGV,#Duke_TGV,0,3,1,33,15,2,33
#Proteus_TGV,#Thurio_TGV,3,3,1,33,15,2,33
#Thurio_TGV,#Duke_TGV,1,3,1,33,15,2,33
#Proteus_TGV,#Duke_TGV,1,3,1,34,374,48,34
#Valentine_TGV,#Duke_TGV,1,3,1,35,983,123,35
