act,scene,n_tokens,n_lines,onstage
1,1,1136,155,#Proteus_TGV #Speed_TGV #Valentine_TGV
1,2,1092,146,#Julia_TGV #Lucetta_TGV
1,3,687,92,#Antonio_TGV #Pantino_TGV #Proteus_TGV
2,1,1238,180,#Speed_TGV #Sylvia_TGV #Valentine_TGV
2,2,158,22,#Julia_TGV #Pantino_TGV #Proteus_TGV
2,3,537,62,#Crab_TGV #Lance_TGV #Pantino_TGV
2,4,1559,225,#Duke_TGV #Proteus_TGV #SERVANTS.1_TGV #Speed_TGV #Sylvia_TGV #Thurio_TGV #Valentine_TGV
2,5,376,53,#Crab_TGV #Lance_TGV #Speed_TGV
2,6,326,43,#Proteus_TGV
2,7,706,90,#Julia_TGV #Lucetta_TGV
3,1,2856,383,#Duke_TGV #Lance_TGV #Proteus_TGV #Speed_TGV #Thurio_TGV #Valentine_TGV
3,2,720,98,#Duke_TGV #Proteus_TGV #Thurio_TGV
4,1,542,76,#OUTLAWS.1_TGV #OUTLAWS.2_TGV #OUTLAWS.3_TGV #Speed_TGV #Valentine_TGV
4,2,990,148,#Host_TGV #Julia_TGV #MUSICIANS_TGV #Proteus_TGV #Sylvia_TGV #Thurio_TGV
4,3,344,51,#Eglamour_TGV #Sylvia_TGV
4,4,1679,216,#Crab_TGV #Julia_TGV #Lance_TGV #Proteus_TGV #Sylvia_TGV
5,1,95,12,#Eglamour_TGV #Sylvia_TGV
5,2,406,58,#Duke_TGV #Julia_TGV #Proteus_TGV #Thurio_TGV
5,3,107,15,#OUTLAWS.1_TGV #OUTLAWS.2_TGV #OUTLAWS.3_TGV #Sylvia_TGV
5,4,1344,186,#Duke_TGV #Julia_TGV #OUTLAWS.1_TGV #OUTLAWS.2_TGV #OUTLAWS.3_TGV #Proteus_TGV #Sylvia_TGV #Thurio_TGV #Valentine_TGV
