node1,node2,count
#ATTENDANTS.0.1_WT,#Cleomenes_WT,4
#ATTENDANTS.0.1_WT,#Dion_WT,4
#ATTENDANTS.0.1_WT,#OFFICERS.0.1_WT,6
#ATTENDANTS.0.1_WT,#OFFICERS_WT,3
#ATTENDANTS.0.1_WT,#Perdita.Infant_WT,3
#ATTENDANTS.0.1_WT,#SERVANTS.0_WT,4
#ATTENDANTS.0.1_WT,#SERVANTS.X.1_WT,3
#ATTENDANTS.0.1_WT,#SERVANTS.X.2_WT,1
#ATTENDANTS.0.1_WT,#SERVANTS_WT,5
#ATTENDANTS.1_WT,#ATTENDANTS.2_WT,2
#ATTENDANTS.1_WT,#ATTENDANTS.3_WT,1
#ATTENDANTS.2_WT,#ATTENDANTS.3_WT,1
#ATTENDANTS.PAULINA.0.1_WT,#Jailer_WT,3
#ATTENDANTS.PAULINA.0.1_WT,#LADIES.Emilia_WT,1
#ATTENDANTS.PAULINA_WT,#ATTENDANTS.PAULINA.0.1_WT,1
#ATTENDANTS.PAULINA_WT,#Jailer_WT,1
#ATTENDANTS_WT,#ATTENDANTS.0.1_WT,14
#ATTENDANTS_WT,#Antigonus_WT,7
#ATTENDANTS_WT,#Cleomenes_WT,4
#ATTENDANTS_WT,#Dion_WT,4
#ATTENDANTS_WT,#Florizell_WT,2
#ATTENDANTS_WT,#Hermione_WT,10
#ATTENDANTS_WT,#LADIES.0.1_WT,4
#ATTENDANTS_WT,#LADIES.0.2_WT,4
#ATTENDANTS_WT,#LADIES_WT,10
#ATTENDANTS_WT,#Leontes_WT,21
#ATTENDANTS_WT,#Mamillius_WT,3
#ATTENDANTS_WT,#OFFICERS.0.1_WT,8
#ATTENDANTS_WT,#OFFICERS_WT,6
#ATTENDANTS_WT,#Paulina_WT,10
#ATTENDANTS_WT,#Perdita.Infant_WT,3
#ATTENDANTS_WT,#Perdita_WT,2
#ATTENDANTS_WT,#Polixenes_WT,3
#ATTENDANTS_WT,#SERVANTS.0_WT,4
#ATTENDANTS_WT,#SERVANTS.X.1_WT,3
#ATTENDANTS_WT,#SERVANTS.X.2_WT,1
#ATTENDANTS_WT,#SERVANTS_WT,5
#Antigonus_WT,#ATTENDANTS.0.1_WT,6
#Antigonus_WT,#LADIES.0.1_WT,4
#Antigonus_WT,#LADIES.0.2_WT,4
#Antigonus_WT,#LADIES_WT,3
#Antigonus_WT,#Perdita.Infant_WT,5
#Antigonus_WT,#SERVANTS.0_WT,2
#Antigonus_WT,#SERVANTS_WT,3
