node1,node2,n_lines,n_tokens
#Archidamus_WT,1.01.0001,48,355
#Camillo_WT,1.01.0001,48,355
#ATTENDANTS_WT,1.02.0002,230,1563
#Camillo_WT,1.02.0002,230,1563
#Hermione_WT,1.02.0002,230,1563
#Leontes_WT,1.02.0002,230,1563
#Mamillius_WT,1.02.0002,230,1563
#Polixenes_WT,1.02.0002,230,1563
#Camillo_WT,1.02.0003,31,223
#Leontes_WT,1.02.0003,31,223
#Mamillius_WT,1.02.0003,31,223
#Camillo_WT,1.02.0004,161,1103
#Leontes_WT,1.02.0004,161,1103
#Camillo_WT,1.02.0005,14,109
#Camillo_WT,1.02.0006,119,826
#Polixenes_WT,1.02.0006,119,826
#Hermione_WT,2.01.0007,2,12
#LADIES_WT,2.01.0007,2,12
#Mamillius_WT,2.01.0007,2,12
#Hermione_WT,2.01.0008,6,37
#LADIES.0.1_WT,2.01.0008,6,37
#LADIES_WT,2.01.0008,6,37
#Mamillius_WT,2.01.0008,6,37
#Hermione_WT,2.01.0009,34,232
#LADIES.0.1_WT,2.01.0009,34,232
#LADIES.0.2_WT,2.01.0009,34,232
#LADIES_WT,2.01.0009,34,232
#Mamillius_WT,2.01.0009,34,232
#ATTENDANTS_WT,2.01.0010,1,9
#Antigonus_WT,2.01.0010,1,9
#Hermione_WT,2.01.0010,1,9
#LADIES.0.1_WT,2.01.0010,1,9
#LADIES.0.2_WT,2.01.0010,1,9
#LADIES_WT,2.01.0010,1,9
#Leontes_WT,2.01.0010,1,9
#Mamillius_WT,2.01.0010,1,9
#ATTENDANTS.0.1_WT,2.01.0011,35,246
#ATTENDANTS_WT,2.01.0011,35,246
#Antigonus_WT,2.01.0011,35,246
#Hermione_WT,2.01.0011,35,246
#LADIES.0.1_WT,2.01.0011,35,246
#LADIES.0.2_WT,2.01.0011,35,246
#LADIES_WT,2.01.0011,35,246
#Leontes_WT,2.01.0011,35,246
#Mamillius_WT,2.01.0011,35,246
#ATTENDANTS.0.1_WT,2.01.0012,73,520
#ATTENDANTS_WT,2.01.0012,73,520
#Antigonus_WT,2.01.0012,73,520
#Hermione_WT,2.01.0012,73,520
#LADIES.0.1_WT,2.01.0012,73,520
#LADIES.0.2_WT,2.01.0012,73,520
#LADIES_WT,2.01.0012,73,520
#Leontes_WT,2.01.0012,73,520
#ATTENDANTS.0.1_WT,2.01.0013,88,615
#ATTENDANTS_WT,2.01.0013,88,615
#Antigonus_WT,2.01.0013,88,615
#LADIES.0.1_WT,2.01.0013,88,615
#LADIES.0.2_WT,2.01.0013,88,615
#Leontes_WT,2.01.0013,88,615
#ATTENDANTS.PAULINA_WT,2.02.0014,5,32
#Paulina_WT,2.02.0014,5,32
#ATTENDANTS.PAULINA.0.1_WT,2.02.0015,16,87
#ATTENDANTS.PAULINA_WT,2.02.0015,16,87
#Jailer_WT,2.02.0015,16,87
#Paulina_WT,2.02.0015,16,87
#ATTENDANTS.PAULINA.0.1_WT,2.02.0016,2,14
#Jailer_WT,2.02.0016,2,14
#Paulina_WT,2.02.0016,2,14
#ATTENDANTS.PAULINA.0.1_WT,2.02.0017,2,12
#Paulina_WT,2.02.0017,2,12
#ATTENDANTS.PAULINA.0.1_WT,2.02.0018,55,374
#Jailer_WT,2.02.0018,55,374
#LADIES.Emilia_WT,2.02.0018,55,374
#Paulina_WT,2.02.0018,55,374
#Leontes_WT,2.03.0019,9,78
#Leontes_WT,2.03.0020,11,62
#SERVANTS.X.1_WT,2.03.0020,11,62
#Leontes_WT,2.03.0021,9,69
#ATTENDANTS.0.1_WT,2.03.0022,6,36
#ATTENDANTS_WT,2.03.0022,6,36
#Antigonus_WT,2.03.0022,6,36
#Leontes_WT,2.03.0022,6,36
#Paulina_WT,2.03.0022,6,36
#Perdita.Infant_WT,2.03.0022,6,36
#SERVANTS_WT,2.03.0022,6,36
#ATTENDANTS.0.1_WT,2.03.0023,130,851
#ATTENDANTS_WT,2.03.0023,130,851
#Antigonus_WT,2.03.0023,130,851
#Leontes_WT,2.03.0023,130,851
#Paulina_WT,2.03.0023,130,851
#Perdita.Infant_WT,2.03.0023,130,851
#SERVANTS.0_WT,2.03.0023,130,851
#SERVANTS_WT,2.03.0023,130,851
#ATTENDANTS.0.1_WT,2.03.0024,68,512
#ATTENDANTS_WT,2.03.0024,68,512
#Antigonus_WT,2.03.0024,68,512
#Leontes_WT,2.03.0024,68,512
#Perdita.Infant_WT,2.03.0024,68,512
#SERVANTS.0_WT,2.03.0024,68,512
#SERVANTS_WT,2.03.0024,68,512
#ATTENDANTS.0.1_WT,2.03.0025,2,6
#ATTENDANTS_WT,2.03.0025,2,6
#Leontes_WT,2.03.0025,2,6
#SERVANTS.0_WT,2.03.0025,2,6
#SERVANTS_WT,2.03.0025,2,6
#ATTENDANTS.0.1_WT,2.03.0026,17,110
#ATTENDANTS_WT,2.03.0026,17,110
#Leontes_WT,2.03.0026,17,110
#SERVANTS.0_WT,2.03.0026,17,110
#SERVANTS.X.2_WT,2.03.0026,17,110
#SERVANTS_WT,2.03.0026,17,110
#Cleomenes_WT,3.01.0027,27,171
#Dion_WT,3.01.0027,27,171
#ATTENDANTS_WT,3.02.0028,8,59
#Leontes_WT,3.02.0028,8,59
#OFFICERS_WT,3.02.0028,8,59
#ATTENDANTS_WT,3.02.0029,2,14
#Leontes_WT,3.02.0029,2,14
#OFFICERS.0.1_WT,3.02.0029,2,14
#OFFICERS_WT,3.02.0029,2,14
#ATTENDANTS_WT,3.02.0030,113,853
#Hermione_WT,3.02.0030,113,853
#LADIES_WT,3.02.0030,113,853
#Leontes_WT,3.02.0030,113,853
#OFFICERS.0.1_WT,3.02.0030,113,853
#OFFICERS_WT,3.02.0030,113,853
#Paulina_WT,3.02.0030,113,853
#ATTENDANTS.0.1_WT,3.02.0031,3,15
#ATTENDANTS_WT,3.02.0031,3,15
#Hermione_WT,3.02.0031,3,15
#LADIES_WT,3.02.0031,3,15
#Leontes_WT,3.02.0031,3,15
#OFFICERS.0.1_WT,3.02.0031,3,15
#OFFICERS_WT,3.02.0031,3,15
#Paulina_WT,3.02.0031,3,15
#ATTENDANTS.0.1_WT,3.02.0032,5,35
#ATTENDANTS_WT,3.02.0032,5,35
#Hermione_WT,3.02.0032,5,35
#LADIES_WT,3.02.0032,5,35
#Leontes_WT,3.02.0032,5,35
#OFFICERS.0.1_WT,3.02.0032,5,35
#Paulina_WT,3.02.0032,5,35
#ATTENDANTS.0.1_WT,3.02.0033,21,137
#ATTENDANTS_WT,3.02.0033,21,137
#Cleomenes_WT,3.02.0033,21,137
#Dion_WT,3.02.0033,21,137
#Hermione_WT,3.02.0033,21,137
#LADIES_WT,3.02.0033,21,137
#Leontes_WT,3.02.0033,21,137
#OFFICERS.0.1_WT,3.02.0033,21,137
#OFFICERS_WT,3.02.0033,21,137
#Paulina_WT,3.02.0033,21,137
#ATTENDANTS.0.1_WT,3.02.0034,17,96
#ATTENDANTS_WT,3.02.0034,17,96
#Cleomenes_WT,3.02.0034,17,96
#Dion_WT,3.02.0034,17,96
#Hermione_WT,3.02.0034,17,96
#LADIES_WT,3.02.0034,17,96
#Leontes_WT,3.02.0034,17,96
#OFFICERS.0.1_WT,3.02.0034,17,96
#OFFICERS_WT,3.02.0034,17,96
#Paulina_WT,3.02.0034,17,96
#SERVANTS.X.1_WT,3.02.0034,17,96
#ATTENDANTS.0.1_WT,3.02.0035,20,138
#ATTENDANTS_WT,3.02.0035,20,138
#Cleomenes_WT,3.02.0035,20,138
#Dion_WT,3.02.0035,20,138
#LADIES_WT,3.02.0035,20,138
#Leontes_WT,3.02.0035,20,138
#OFFICERS.0.1_WT,3.02.0035,20,138
#SERVANTS.X.1_WT,3.02.0035,20,138
#ATTENDANTS.0.1_WT,3.02.0036,80,597
#ATTENDANTS_WT,3.02.0036,80,597
#Cleomenes_WT,3.02.0036,80,597
#Dion_WT,3.02.0036,80,597
#LADIES_WT,3.02.0036,80,597
#Leontes_WT,3.02.0036,80,597
#OFFICERS.0.1_WT,3.02.0036,80,597
#Paulina_WT,3.02.0036,80,597
#SERVANTS.X.1_WT,3.02.0036,80,597
#Antigonus_WT,3.03.0037,18,120
#Perdita.Infant_WT,3.03.0037,18,120
#Sailor_WT,3.03.0037,18,120
#Antigonus_WT,3.03.0038,46,346
#Perdita.Infant_WT,3.03.0038,46,346
#Perdita.Infant_WT,3.03.0039,19,174
#Shepherd_WT,3.03.0039,19,174
#Perdita.Infant_WT,3.03.0040,62,508
#Shepherd_WT,3.03.0040,62,508
#ShepherdsSon_WT,3.03.0040,62,508
#Chorus_WT,4.01.0041,33,266
#Camillo_WT,4.02.0042,57,477
#Polixenes_WT,4.02.0042,57,477
#Autolycus_WT,4.03.0043,31,243
#Autolycus_WT,4.03.0044,93,675
#ShepherdsSon_WT,4.03.0044,93,675
#Autolycus_WT,4.03.0045,9,70
#Florizell_WT,4.04.0046,63,435
#Perdita_WT,4.04.0046,63,435
#Camillo_WT,4.04.0047,150,1044
#Dorcas_WT,4.04.0047,150,1044
#Florizell_WT,4.04.0047,150,1044
#MUSICIANS_WT,4.04.0047,150,1044
#Mopsa_WT,4.04.0047,150,1044
#Perdita_WT,4.04.0047,150,1044
#Polixenes_WT,4.04.0047,150,1044
#SERVANTS.SHEPHERD_WT,4.04.0047,150,1044
#SHEPHERDS_WT,4.04.0047,150,1044
#Shepherd_WT,4.04.0047,150,1044
#ShepherdsSon_WT,4.04.0047,150,1044
#Camillo_WT,4.04.0048,37,284
#Dorcas_WT,4.04.0048,37,284
#Florizell_WT,4.04.0048,37,284
#MUSICIANS_WT,4.04.0048,37,284
#Mopsa_WT,4.04.0048,37,284
#Perdita_WT,4.04.0048,37,284
#Polixenes_WT,4.04.0048,37,284
#SERVANTS.SHEPHERD.1_WT,4.04.0048,37,284
#SERVANTS.SHEPHERD_WT,4.04.0048,37,284
#SHEPHERDS_WT,4.04.0048,37,284
#Shepherd_WT,4.04.0048,37,284
#ShepherdsSon_WT,4.04.0048,37,284
#Camillo_WT,4.04.0049,3,22
#Dorcas_WT,4.04.0049,3,22
#Florizell_WT,4.04.0049,3,22
#MUSICIANS_WT,4.04.0049,3,22
#Mopsa_WT,4.04.0049,3,22
#Perdita_WT,4.04.0049,3,22
#Polixenes_WT,4.04.0049,3,22
#SERVANTS.SHEPHERD_WT,4.04.0049,3,22
#SHEPHERDS_WT,4.04.0049,3,22
#Shepherd_WT,4.04.0049,3,22
#ShepherdsSon_WT,4.04.0049,3,22
#Autolycus_WT,4.04.0050,104,697
#Camillo_WT,4.04.0050,104,697
#Dorcas_WT,4.04.0050,104,697
#Florizell_WT,4.04.0050,104,697
#MUSICIANS_WT,4.04.0050,104,697
#Mopsa_WT,4.04.0050,104,697
#Perdita_WT,4.04.0050,104,697
#Polixenes_WT,4.04.0050,104,697
#SERVANTS.SHEPHERD_WT,4.04.0050,104,697
#SHEPHERDS_WT,4.04.0050,104,697
#Shepherd_WT,4.04.0050,104,697
#ShepherdsSon_WT,4.04.0050,104,697
#Autolycus_WT,4.04.0051,10,51
#Camillo_WT,4.04.0051,10,51
#Florizell_WT,4.04.0051,10,51
#MUSICIANS_WT,4.04.0051,10,51
#Perdita_WT,4.04.0051,10,51
#Polixenes_WT,4.04.0051,10,51
#SERVANTS.SHEPHERD_WT,4.04.0051,10,51
#Shepherd_WT,4.04.0051,10,51
#Camillo_WT,4.04.0052,21,153
#Florizell_WT,4.04.0052,21,153
#MUSICIANS_WT,4.04.0052,21,153
#Perdita_WT,4.04.0052,21,153
#Polixenes_WT,4.04.0052,21,153
#SERVANTS.SHEPHERD.1_WT,4.04.0052,21,153
#SERVANTS.SHEPHERD_WT,4.04.0052,21,153
#Shepherd_WT,4.04.0052,21,153
#Camillo_WT,4.04.0053,130,846
#Florizell_WT,4.04.0053,130,846
#Perdita_WT,4.04.0053,130,846
#Polixenes_WT,4.04.0053,130,846
#Shepherd_WT,4.04.0053,130,846
#Camillo_WT,4.04.0054,28,189
#Florizell_WT,4.04.0054,28,189
#Perdita_WT,4.04.0054,28,189
#Shepherd_WT,4.04.0054,28,189
#Camillo_WT,4.04.0055,164,1087
#Florizell_WT,4.04.0055,164,1087
#Perdita_WT,4.04.0055,164,1087
#Autolycus_WT,4.04.0056,82,596
#Camillo_WT,4.04.0056,82,596
#Florizell_WT,4.04.0056,82,596
#Perdita_WT,4.04.0056,82,596
#Autolycus_WT,4.04.0057,14,137
#Autolycus_WT,4.04.0058,157,1214
#Shepherd_WT,4.04.0058,157,1214
#ShepherdsSon_WT,4.04.0058,157,1214
#Autolycus_WT,4.04.0059,12,119
#Cleomenes_WT,5.01.0060,106,693
#Dion_WT,5.01.0060,106,693
#Leontes_WT,5.01.0060,106,693
#Paulina_WT,5.01.0060,106,693
#SERVANTS_WT,5.01.0060,106,693
#Cleomenes_WT,5.01.0061,38,243
#Dion_WT,5.01.0061,38,243
#Leontes_WT,5.01.0061,38,243
#Paulina_WT,5.01.0061,38,243
#SERVANTS.X.3_WT,5.01.0061,38,243
#SERVANTS_WT,5.01.0061,38,243
#Dion_WT,5.01.0062,12,72
#Leontes_WT,5.01.0062,12,72
#Paulina_WT,5.01.0062,12,72
#Cleomenes_WT,5.01.0063,62,428
#Dion_WT,5.01.0063,62,428
#Florizell_WT,5.01.0063,62,428
#Leontes_WT,5.01.0063,62,428
#Paulina_WT,5.01.0063,62,428
#Perdita_WT,5.01.0063,62,428
#SERVANTS_WT,5.01.0063,62,428
#ATTENDANTS.X_WT,5.01.0064,69,462
#Cleomenes_WT,5.01.0064,69,462
#Dion_WT,5.01.0064,69,462
#Florizell_WT,5.01.0064,69,462
#Leontes_WT,5.01.0064,69,462
#Paulina_WT,5.01.0064,69,462
#Perdita_WT,5.01.0064,69,462
#SERVANTS_WT,5.01.0064,69,462
#ATTENDANTS.1_WT,5.02.0065,21,164
#Autolycus_WT,5.02.0065,21,164
#ATTENDANTS.1_WT,5.02.0066,6,43
#ATTENDANTS.2_WT,5.02.0066,6,43
#Autolycus_WT,5.02.0066,6,43
#ATTENDANTS.1_WT,5.02.0067,93,752
#ATTENDANTS.2_WT,5.02.0067,93,752
