node1,node2,key,act,scene,n_tokens,n_lines,edge_index
#ATTENDANTS.ALCIBIADES_Tim,#Alcibiades_Tim,0,1,1,2050,319,1
#ATTENDANTS.ALCIBIADES_Tim,#Apemantus_Tim,0,1,1,2050,319,1
#ATTENDANTS.ALCIBIADES_Tim,#Jeweler_Tim,0,1,1,2050,319,1
#ATTENDANTS.ALCIBIADES_Tim,#LORDS.0.1_Tim,0,1,1,2050,319,1
#ATTENDANTS.ALCIBIADES_Tim,#LORDS.0.2_Tim,0,1,1,2050,319,1
#ATTENDANTS.ALCIBIADES_Tim,#LORDS_Tim,0,1,1,2050,319,1
#ATTENDANTS.ALCIBIADES_Tim,#MESSENGERS.X.1_Tim,0,1,1,2050,319,1
#ATTENDANTS.ALCIBIADES_Tim,#MESSENGERS.X.2_Tim,0,1,1,2050,319,1
#ATTENDANTS.ALCIBIADES_Tim,#Merchant_Tim,0,1,1,2050,319,1
#ATTENDANTS.ALCIBIADES_Tim,#OldMan_Tim,0,1,1,2050,319,1
#ATTENDANTS.ALCIBIADES_Tim,#Painter_Tim,0,1,1,2050,319,1
#ATTENDANTS.ALCIBIADES_Tim,#Poet_Tim,0,1,1,2050,319,1
#ATTENDANTS.ALCIBIADES_Tim,#SENATORS_Tim,0,1,1,2050,319,1
#ATTENDANTS.ALCIBIADES_Tim,#SERVANTS.TIMON.Lucilius_Tim,0,1,1,2050,319,1
#ATTENDANTS.ALCIBIADES_Tim,#SERVANTS.TIMON_Tim,0,1,1,2050,319,1
#ATTENDANTS.ALCIBIADES_Tim,#Timon_Tim,0,1,1,2050,319,1
#Alcibiades_Tim,#Apemantus_Tim,0,1,1,2050,319,1
#Alcibiades_Tim,#Jeweler_Tim,0,1,1,2050,319,1
#Alcibiades_Tim,#LORDS.0.1_Tim,0,1,1,2050,319,1
#Alcibiades_Tim,#LORDS.0.2_Tim,0,1,1,2050,319,1
#Alcibiades_Tim,#LORDS_Tim,0,1,1,2050,319,1
#Alcibiades_Tim,#MESSENGERS.X.1_Tim,0,1,1,2050,319,1
#Alcibiades_Tim,#MESSENGERS.X.2_Tim,0,1,1,2050,319,1
#Alcibiades_Tim,#Merchant_Tim,0,1,1,2050,319,1
#Alcibiades_Tim,#OldMan_Tim,0,1,1,2050,319,1
#Alcibiades_Tim,#Painter_Tim,0,1,1,2050,319,1
#Alcibiades_Tim,#Poet_Tim,0,1,1,2050,319,1
#Alcibiades_Tim,#SENATORS_Tim,0,1,1,2050,319,1
#Alcibiades_Tim,#SERVANTS.TIMON.Lucilius_Tim,0,1,1,2050,319,1
#Alcibiades_Tim,#SERVANTS.TIMON_Tim,0,1,1,2050,319,1
#Alcibiades_Tim,#Timon_Tim,0,1,1,2050,319,1
#Apemantus_Tim,#Jeweler_Tim,0,1,1,2050,319,1
#Apemantus_Tim,#LORDS.0.1_Tim,0,1,1,2050,319,1
#Apemantus_Tim,#LORDS.0.2_Tim,0,1,1,2050,319,1
#Apemantus_Tim,#LORDS_Tim,0,1,1,2050,319,1
#Apemantus_Tim,#MESSENGERS.X.1_Tim,0,1,1,2050,319,1
#Apemantus_Tim,#MESSENGERS.X.2_Tim,0,1,1,2050,319,1
#Apemantus_Tim,#Merchant_Tim,0,1,1,2050,319,1
#Apemantus_Tim,#OldMan_Tim,0,1,1,2050,319,1
#Apemantus_Tim,#Painter_Tim,0,1,1,2050,319,1
#Apemantus_Tim,#Poet_Tim,0,1,1,2050,319,1
#Apemantus_Tim,#SENATORS_Tim,0,1,1,2050,319,1
#Apemantus_Tim,#SERVANTS.TIMON.Lucilius_Tim,0,1,1,2050,319,1
#Apemantus_Tim,#SERVANTS.TIMON_Tim,0,1,1,2050,319,1
#Apemantus_Tim,#Timon_Tim,0,1,1,2050,319,1
#Jeweler_Tim,#LORDS.0.1_Tim,0,1,1,2050,319,1
#Jeweler_Tim,#LORDS.0.2_Tim,0,1,1,2050,319,1
#Jeweler_Tim,#LORDS_Tim,0,1,1,2050,319,1
#Jeweler_Tim,#MESSENGERS.X.1_Tim,0,1,1,2050,319,1
#Jeweler_Tim,#MESSENGERS.X.2_Tim,0,1,1,2050,319,1
#Jeweler_Tim,#Merchant_Tim,0,1,1,2050,319,1
#Jeweler_Tim,#OldMan_Tim,0,1,1,2050,319,1
#Jeweler_Tim,#Painter_Tim,0,1,1,2050,319,1
#Jeweler_Tim,#Poet_Tim,0,1,1,2050,319,1
#Jeweler_Tim,#SENATORS_Tim,0,1,1,2050,319,1
#Jeweler_Tim,#SERVANTS.TIMON.Lucilius_Tim,0,1,1,2050,319,1
#Jeweler_Tim,#SERVANTS.TIMON_Tim,0,1,1,2050,319,1
#Jeweler_Tim,#Timon_Tim,0,1,1,2050,319,1
#LORDS.0.1_Tim,#LORDS.0.2_Tim,0,1,1,2050,319,1
#LORDS.0.1_Tim,#LORDS_Tim,0,1,1,2050,319,1
#LORDS.0.1_Tim,#MESSENGERS.X.1_Tim,0,1,1,2050,319,1
#LORDS.0.1_Tim,#MESSENGERS.X.2_Tim,0,1,1,2050,319,1
#LORDS.0.1_Tim,#Merchant_Tim,0,1,1,2050,319,1
#LORDS.0.1_Tim,#OldMan_Tim,0,1,1,2050,319,1
#LORDS.0.1_Tim,#Painter_Tim,0,1,1,2050,319,1
#LORDS.0.1_Tim,#Poet_Tim,0,1,1,2050,319,1
#LORDS.0.1_Tim,#SENATORS_Tim,0,1,1,2050,319,1
#LORDS.0.1_Tim,#SERVANTS.TIMON.Lucilius_Tim,0,1,1,2050,319,1
#LORDS.0.1_Tim,#SERVANTS.TIMON_Tim,0,1,1,2050,319,1
#LORDS.0.1_Tim,#Timon_Tim,0,1,1,2050,319,1
#LORDS.0.2_Tim,#LORDS_Tim,0,1,1,2050,319,1
#LORDS.0.2_Tim,#MESSENGERS.X.1_Tim,0,1,1,2050,319,1
#LORDS.0.2_Tim,#MESSENGERS.X.2_Tim,0,1,1,2050,319,1
#LORDS.0.2_Tim,#Merchant_Tim,0,1,1,2050,319,1
#LORDS.0.2_Tim,#OldMan_Tim,0,1,1,2050,319,1
#LORDS.0.2_Tim,#Painter_Tim,0,1,1,2050,319,1
#LORDS.0.2_Tim,#Poet_Tim,0,1,1,2050,319,1
#LORDS.0.2_Tim,#SENATORS_Tim,0,1,1,2050,319,1
#LORDS.0.2_Tim,#SERVANTS.TIMON.Lucilius_Tim,0,1,1,2050,319,1
#LORDS.0.2_Tim,#SERVANTS.TIMON_Tim,0,1,1,2050,319,1
#LORDS.0.2_Tim,#Timon_Tim,0,1,1,2050,319,1
#LORDS_Tim,#MESSENGERS.X.1_Tim,0,1,1,2050,319,1
#LORDS_Tim,#MESSENGERS.X.2_Tim,0,1,1,2050,319,1
#LORDS_Tim,#Merchant_Tim,0,1,1,2050,319,1
#LORDS_Tim,#OldMan_Tim,0,1,1,2050,319,1
#LORDS_Tim,#Painter_Tim,0,1,1,2050,319,1
#LORDS_Tim,#Poet_Tim,0,1,1,2050,319,1
#LORDS_Tim,#SENATORS_Tim,0,1,1,2050,319,1
#LORDS_Tim,#SERVANTS.TIMON.Lucilius_Tim,0,1,1,2050,319,1
#LORDS_Tim,#SERVANTS.TIMON_Tim,0,1,1,2050,319,1
#LORDS_Tim,#Timon_Tim,0,1,1,2050,319,1
#MESSENGERS.X.1_Tim,#MESSENGERS.X.2_Tim,0,1,1,2050,319,1
#MESSENGERS.X.1_Tim,#Merchant_Tim,0,1,1,2050,319,1
#MESSENGERS.X.1_Tim,#OldMan_Tim,0,1,1,2050,319,1
#MESSENGERS.X.1_Tim,#Painter_Tim,0,1,1,2050,319,1
#MESSENGERS.X.1_Tim,#Poet_Tim,0,1,1,2050,319,1
#MESSENGERS.X.1_Tim,#SENATORS_Tim,0,1,1,2050,319,1
#MESSENGERS.X.1_Tim,#SERVANTS.TIMON.Lucilius_Tim,0,1,1,2050,319,1
#MESSENGERS.X.1_Tim,#SERVANTS.TIMON_Tim,0,1,1,2050,319,1
#MESSENGERS.X.1_Tim,#Timon_Tim,0,1,1,2050,319,1
#MESSENGERS.X.2_Tim,#Merchant_Tim,0,1,1,2050,319,1
#MESSENGERS.X.2_Tim,#OldMan_Tim,0,1,1,2050,319,1
