act,scene,stagegroup,setting,speaker,onstage,n_tokens,n_lines
1,1,1,1,#Poet_Tim,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,3,1
1,1,1,2,#Painter_Tim,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,5,1
1,1,1,3,#Poet_Tim,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,10,1
1,1,1,4,#Painter_Tim,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,6,1
1,1,1,5,#Poet_Tim,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,32,5
1,1,1,6,#Painter_Tim,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,8,1
1,1,1,7,#Merchant_Tim,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,5,1
1,1,1,8,#Jeweler_Tim,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,4,1
1,1,1,9,#Merchant_Tim,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,16,3
1,1,1,10,#Jeweler_Tim,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,5,1
1,1,1,11,#Merchant_Tim,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,10,1
1,1,1,12,#Jeweler_Tim,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,9,1
1,1,1,13,#Poet_Tim,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,21,3
1,1,1,14,#Merchant_Tim,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,4,1
1,1,1,15,#Jeweler_Tim,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,8,1
1,1,1,16,#Painter_Tim,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,13,2
1,1,1,17,#Poet_Tim,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,47,6
1,1,1,18,#Painter_Tim,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,8,1
1,1,1,19,#Poet_Tim,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,11,2
1,1,1,20,#Painter_Tim,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,4,1
1,1,1,21,#Poet_Tim,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,8,1
1,1,1,22,#Painter_Tim,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,1,1
1,1,1,23,#Poet_Tim,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,32,5
1,1,1,24,#Painter_Tim,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,15,2
1,1,1,25,#Poet_Tim,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,17,3
1,1,2,26,#Painter_Tim,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim,5,1
1,1,2,27,#Poet_Tim,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim,6,1
1,1,2,28,#Painter_Tim,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim,2,1
1,1,2,29,#Poet_Tim,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim,69,10
1,1,2,30,#Painter_Tim,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim,5,1
1,1,2,31,#Poet_Tim,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim,88,12
1,1,2,32,#Painter_Tim,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim,5,1
1,1,2,33,#Poet_Tim,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim,79,10
1,1,2,34,#Painter_Tim,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim,38,6
1,1,2,35,#Poet_Tim,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim,49,7
1,1,2,36,#Painter_Tim,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim,5,1
1,1,2,37,#Poet_Tim,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim #SENATORS_Tim,41,5
