node,n_tokens_onstage,n_tokens_speaker,n_lines_onstage,n_lines_speaker
#ATTENDANTS.ALCIBIADES_Tim,971,0,137,0
#ATTENDANTS.TIMON.0.1_Tim,684,5,96,1
#ATTENDANTS.TIMON_Tim,1809,0,246,0
#ATTENDANTS_Tim,168,0,28,0
#Alcibiades_Tim,4660,1181,658,164
#Apemantus_Tim,4617,1759,674,259
#BANDITS.1_Tim,467,105,66,15
#BANDITS.2_Tim,467,50,66,10
#BANDITS.3_Tim,467,61,66,10
#Cupid_Tim,261,47,36,6
#FRIENDS.0.1_Tim,838,174,126,26
#FRIENDS.0.2_Tim,830,171,125,29
#FRIENDS.0.3_Tim,500,57,76,11
#FRIENDS.0.4_Tim,72,18,12,3
#FRIENDS.0_Tim,225,8,39,2
#FRIENDS.Lucius_Tim,2318,353,312,44
#FRIENDS.Lucullus_Tim,368,282,50,37
#FRIENDS.Sempronius_Tim,229,212,28,25
#FRIENDS.Ventidius_Tim,1809,63,246,10
#FRIENDS_Tim,810,0,122,0
#Flavius_Tim,5042,1519,710,210
#Fool_Tim,484,181,78,23
#Jeweler_Tim,1867,78,291,12
#LADIES.0.1_Tim,787,9,112,1
#LADIES_Tim,194,4,27,1
#LORDS.0.1_Tim,2002,118,274,19
#LORDS.0.2_Tim,1693,115,235,18
#LORDS.0.3_Tim,1063,20,152,3
#LORDS_Tim,1992,4,274,1
#MESSENGERS.X.1_Tim,122,43,17,7
#MESSENGERS.X.2_Tim,20,9,4,2
#MESSENGERS.X.3_Tim,130,70,19,11
#Merchant_Tim,1867,63,291,11
#OldMan_Tim,334,207,49,29
#Painter_Tim,2775,483,422,75
#Phrynia_Tim,1035,33,147,5
#Poet_Tim,2775,758,422,112
#SENATORS.0.1_Tim,901,219,125,33
#SENATORS.0.2_Tim,878,74,122,11
#SENATORS.0.3_Tim,205,1,29,1
#SENATORS.1_Tim,1628,376,233,59
#SENATORS.2_Tim,1628,346,233,51
#SENATORS.3_Tim,130,16,19,3
#SENATORS.4_Tim,130,9,19,1
#SENATORS.X_Tim,293,281,38,35
#SENATORS_Tim,4155,0,601,0
#SERVANTS.Caphis_Tim,942,151,151,27
#SERVANTS.Hortensius_Tim,719,70,115,11
#SERVANTS.ISIDORE.1_Tim,764,64,127,15
#SERVANTS.LUCIUS.1_Tim,719,193,115,33
#SERVANTS.LUCULLUS.1_Tim,119,23,18,4
#SERVANTS.Page_Tim,103,48,15,7
#SERVANTS.Philotus_Tim,681,34,107,6
#SERVANTS.TIMON.0.1_Tim,412,41,56,6
#SERVANTS.TIMON.0.2_Tim,348,57,47,9
#SERVANTS.TIMON.0.3_Tim,284,47,37,6
#SERVANTS.TIMON.0_Tim,295,0,39,0
#SERVANTS.TIMON.1_Tim,20,16,3,2
#SERVANTS.TIMON.2_Tim,33,22,5,3
#SERVANTS.TIMON.3_Tim,43,26,7,4
#SERVANTS.TIMON.Flaminius_Tim,841,220,126,32
#SERVANTS.TIMON.Lucilius_Tim,456,35,66,5
#SERVANTS.TIMON.Servilius_Tim,610,129,88,20
#SERVANTS.TIMON.X.1_Tim,41,28,7,4
#SERVANTS.TIMON.X.2_Tim,422,152,53,20
#SERVANTS.TIMON_Tim,1948,0,301,0
#SERVANTS.Titus_Tim,719,89,115,15
#SERVANTS.VARRO.1_Tim,1483,122,242,26
#SERVANTS.VARRO.2_Tim,719,40,115,7
#SOLDIERS.1_Tim,255,118,35,15
#SOLDIERS_Tim,677,0,100,0
#STRANGERS.1_Tim,702,230,94,31
#STRANGERS.2_Tim,702,48,94,7
#STRANGERS.3_Tim,702,4,94,1
#Timandra_Tim,1035,44,147,8
#Timon_Tim,11028,6336,1596,890
