node1,node2,count
#ATTENDANTS.GREEK_Tro,#Achilles_Tro,6
#ATTENDANTS.GREEK_Tro,#Agamemnon_Tro,8
#ATTENDANTS.GREEK_Tro,#Ajax_Tro,6
#ATTENDANTS.GREEK_Tro,#Menelaus_Tro,8
#ATTENDANTS.GREEK_Tro,#Nestor_Tro,8
#ATTENDANTS.GREEK_Tro,#Patroclus_Tro,6
#ATTENDANTS.GREEK_Tro,#SERVANTS.AENEAS.1_Tro,1
#ATTENDANTS.GREEK_Tro,#Trumpeter_Tro,7
#ATTENDANTS.GREEK_Tro,#Ulysses_Tro,8
#ATTENDANTS.TROJAN_Tro,#ATTENDANTS.GREEK_Tro,2
#ATTENDANTS.TROJAN_Tro,#Achilles_Tro,2
#ATTENDANTS.TROJAN_Tro,#Aeneas_Tro,2
#ATTENDANTS.TROJAN_Tro,#Agamemnon_Tro,2
#ATTENDANTS.TROJAN_Tro,#Ajax_Tro,2
#ATTENDANTS.TROJAN_Tro,#Diomedes_Tro,1
#ATTENDANTS.TROJAN_Tro,#Hector_Tro,2
#ATTENDANTS.TROJAN_Tro,#Helen_Tro,2
#ATTENDANTS.TROJAN_Tro,#Helenus_Tro,2
#ATTENDANTS.TROJAN_Tro,#Menelaus_Tro,2
#ATTENDANTS.TROJAN_Tro,#Nestor_Tro,2
#ATTENDANTS.TROJAN_Tro,#Paris_Tro,4
#ATTENDANTS.TROJAN_Tro,#Patroclus_Tro,2
#ATTENDANTS.TROJAN_Tro,#Trumpeter_Tro,2
#ATTENDANTS.TROJAN_Tro,#Ulysses_Tro,2
#Achilles_Tro,#Agamemnon_Tro,10
#Achilles_Tro,#Ajax_Tro,15
#Achilles_Tro,#Calchas_Tro,1
#Achilles_Tro,#MYRMIDONS.0.1_Tro,1
#Achilles_Tro,#MYRMIDONS_Tro,3
#Achilles_Tro,#Menelaus_Tro,9
#Achilles_Tro,#Nestor_Tro,12
#Achilles_Tro,#Patroclus_Tro,18
#Achilles_Tro,#SOLDIERS.GREEK.1_Tro,2
#Achilles_Tro,#Thersites_Tro,8
#Achilles_Tro,#Trumpeter_Tro,6
#Achilles_Tro,#Ulysses_Tro,14
#Aeneas_Tro,#ATTENDANTS.GREEK_Tro,5
#Aeneas_Tro,#Achilles_Tro,3
#Aeneas_Tro,#Agamemnon_Tro,4
#Aeneas_Tro,#Ajax_Tro,3
#Aeneas_Tro,#Antenor_Tro,8
#Aeneas_Tro,#Calchas_Tro,1
#Aeneas_Tro,#Deiphobus_Tro,8
#Aeneas_Tro,#Diomedes_Tro,7
#Aeneas_Tro,#Hector_Tro,3
#Aeneas_Tro,#Helenus_Tro,2
#Aeneas_Tro,#Menelaus_Tro,4
#Aeneas_Tro,#Nestor_Tro,4
#Aeneas_Tro,#Patroclus_Tro,3
#Aeneas_Tro,#SERVANTS.AENEAS.1_Tro,1
#Aeneas_Tro,#SOLDIERS.TROJAN_Tro,3
#Aeneas_Tro,#Thersites_Tro,1
#Aeneas_Tro,#Trumpeter_Tro,4
#Aeneas_Tro,#Ulysses_Tro,5
#Agamemnon_Tro,#Ajax_Tro,20
#Agamemnon_Tro,#Calchas_Tro,8
#Agamemnon_Tro,#Menelaus_Tro,14
#Agamemnon_Tro,#Nestor_Tro,28
#Agamemnon_Tro,#Patroclus_Tro,12
#Agamemnon_Tro,#SOLDIERS.GREEK_Tro,3
#Agamemnon_Tro,#SOLDIERS_Tro,1
#Agamemnon_Tro,#Thersites_Tro,4
#Agamemnon_Tro,#Trumpeter_Tro,7
#Agamemnon_Tro,#Ulysses_Tro,23
#Ajax_Tro,#Calchas_Tro,8
#Ajax_Tro,#Menelaus_Tro,13
#Ajax_Tro,#Nestor_Tro,22
#Ajax_Tro,#Patroclus_Tro,15
#Ajax_Tro,#SOLDIERS.GREEK_Tro,2
#Ajax_Tro,#SOLDIERS_Tro,1
#Ajax_Tro,#Thersites_Tro,8
#Ajax_Tro,#Trumpeter_Tro,6
#Ajax_Tro,#Ulysses_Tro,20
#Alexander_Tro,#Cressida_Tro,2
#Antenor_Tro,#ATTENDANTS.GREEK_Tro,2
#Antenor_Tro,#Deiphobus_Tro,9
#Antenor_Tro,#Diomedes_Tro,5
#Antenor_Tro,#SERVANTS.AENEAS.1_Tro,1
#Antenor_Tro,#SOLDIERS.TROJAN_Tro,3
#Cassandra_Tro,#Andromache_Tro,3
#Cressida_Tro,#ATTENDANTS.GREEK_Tro,1
#Cressida_Tro,#Achilles_Tro,1
#Cressida_Tro,#Aeneas_Tro,4
#Cressida_Tro,#Agamemnon_Tro,1
#Cressida_Tro,#Ajax_Tro,1
#Cressida_Tro,#Antenor_Tro,1
#Cressida_Tro,#Boy_Tro,1
#Cressida_Tro,#Calchas_Tro,3
#Cressida_Tro,#Deiphobus_Tro,1
#Cressida_Tro,#Diomedes_Tro,4
#Cressida_Tro,#Menelaus_Tro,1
#Cressida_Tro,#Nestor_Tro,1
#Cressida_Tro,#Paris_Tro,2
#Cressida_Tro,#Patroclus_Tro,1
#Cressida_Tro,#Thersites_Tro,3
#Cressida_Tro,#Trumpeter_Tro,1
#Cressida_Tro,#Ulysses_Tro,4
#Deiphobus_Tro,#ATTENDANTS.GREEK_Tro,2
#Deiphobus_Tro,#Diomedes_Tro,5
#Deiphobus_Tro,#SERVANTS.AENEAS.1_Tro,1
#Deiphobus_Tro,#SOLDIERS.TROJAN_Tro,3
#Diomedes_Tro,#ATTENDANTS.GREEK_Tro,7
#Diomedes_Tro,#Achilles_Tro,6
#Diomedes_Tro,#Agamemnon_Tro,23
#Diomedes_Tro,#Ajax_Tro,19
#Diomedes_Tro,#Calchas_Tro,13
#Diomedes_Tro,#Menelaus_Tro,10
#Diomedes_Tro,#Nestor_Tro,23
#Diomedes_Tro,#Patroclus_Tro,8
#Diomedes_Tro,#SERVANTS.AENEAS.1_Tro,1
#Diomedes_Tro,#SERVANTS.DIOMEDES.1_Tro,1
#Diomedes_Tro,#SOLDIERS.GREEK_Tro,3
#Diomedes_Tro,#SOLDIERS_Tro,1
#Diomedes_Tro,#Thersites_Tro,10
#Diomedes_Tro,#Trumpeter_Tro,4
#Diomedes_Tro,#Ulysses_Tro,22
#Hector_Tro,#ATTENDANTS.GREEK_Tro,3
#Hector_Tro,#Achilles_Tro,9
#Hector_Tro,#Agamemnon_Tro,5
#Hector_Tro,#Ajax_Tro,7
#Hector_Tro,#Andromache_Tro,5
#Hector_Tro,#Cassandra_Tro,5
#Hector_Tro,#Diomedes_Tro,5
#Hector_Tro,#Helenus_Tro,5
#Hector_Tro,#MYRMIDONS.0.1_Tro,1
#Hector_Tro,#MYRMIDONS_Tro,2
#Hector_Tro,#Menelaus_Tro,5
#Hector_Tro,#Nestor_Tro,7
#Hector_Tro,#Patroclus_Tro,3
#Hector_Tro,#Priam_Tro,6
#Hector_Tro,#SOLDIERS.GREEK.1_Tro,4
#Hector_Tro,#Thersites_Tro,5
#Hector_Tro,#Trumpeter_Tro,3
#Hector_Tro,#Ulysses_Tro,6
#Helen_Tro,#Paris_Tro,2
#Helenus_Tro,#ATTENDANTS.GREEK_Tro,2
#Helenus_Tro,#Achilles_Tro,2
#Helenus_Tro,#Agamemnon_Tro,2
#Helenus_Tro,#Ajax_Tro,2
#Helenus_Tro,#Cassandra_Tro,1
#Helenus_Tro,#Diomedes_Tro,1
#Helenus_Tro,#Menelaus_Tro,2
#Helenus_Tro,#Nestor_Tro,2
#Helenus_Tro,#Patroclus_Tro,2
#Helenus_Tro,#Priam_Tro,3
#Helenus_Tro,#Trumpeter_Tro,2
#Helenus_Tro,#Ulysses_Tro,2
#MYRMIDONS_Tro,#MYRMIDONS.0.1_Tro,1
#MYRMIDONS_Tro,#SOLDIERS.GREEK.1_Tro,2
#Menelaus_Tro,#Calchas_Tro,1
#Menelaus_Tro,#Nestor_Tro,14
#Menelaus_Tro,#Patroclus_Tro,8
#Menelaus_Tro,#SOLDIERS.GREEK_Tro,2
#Menelaus_Tro,#SOLDIERS_Tro,1
#Menelaus_Tro,#Thersites_Tro,3
#Menelaus_Tro,#Trumpeter_Tro,7
#Menelaus_Tro,#Ulysses_Tro,13
#Nestor_Tro,#Calchas_Tro,8
#Nestor_Tro,#Patroclus_Tro,12
#Nestor_Tro,#SOLDIERS.GREEK_Tro,3
#Nestor_Tro,#SOLDIERS_Tro,1
#Nestor_Tro,#Thersites_Tro,6
#Nestor_Tro,#Trumpeter_Tro,7
#Nestor_Tro,#Ulysses_Tro,25
#Pandarus_Tro,#ATTENDANTS.TROJAN_Tro,1
#Pandarus_Tro,#Aeneas_Tro,4
#Pandarus_Tro,#Alexander_Tro,1
#Pandarus_Tro,#Antenor_Tro,1
#Pandarus_Tro,#Boy_Tro,1
#Pandarus_Tro,#Cressida_Tro,11
#Pandarus_Tro,#Deiphobus_Tro,1
#Pandarus_Tro,#Helen_Tro,1
#Pandarus_Tro,#Paris_Tro,2
#Pandarus_Tro,#SERVANTS.PARIS.1_Tro,2
#Pandarus_Tro,#SERVANTS.TROILUS.1_Tro,2
#Pandarus_Tro,#SOLDIERS.TROJAN_Tro,1
#Pandarus_Tro,#Troilus_Tro,12
#Paris_Tro,#ATTENDANTS.GREEK_Tro,4
#Paris_Tro,#Achilles_Tro,2
#Paris_Tro,#Aeneas_Tro,11
#Paris_Tro,#Agamemnon_Tro,2
#Paris_Tro,#Ajax_Tro,2
#Paris_Tro,#Antenor_Tro,9
#Paris_Tro,#Cassandra_Tro,1
#Paris_Tro,#Deiphobus_Tro,9
#Paris_Tro,#Diomedes_Tro,6
#Paris_Tro,#Hector_Tro,5
#Paris_Tro,#Helenus_Tro,5
#Paris_Tro,#Menelaus_Tro,3
#Paris_Tro,#Nestor_Tro,2
#Paris_Tro,#Patroclus_Tro,2
#Paris_Tro,#Priam_Tro,3
#Paris_Tro,#SERVANTS.AENEAS.1_Tro,1
#Paris_Tro,#SOLDIERS.TROJAN_Tro,3
#Paris_Tro,#Thersites_Tro,1
#Paris_Tro,#Trumpeter_Tro,2
#Paris_Tro,#Ulysses_Tro,2
#Patroclus_Tro,#Calchas_Tro,4
#Patroclus_Tro,#SOLDIERS.GREEK_Tro,1
#Patroclus_Tro,#Thersites_Tro,7
#Patroclus_Tro,#Trumpeter_Tro,6
#Patroclus_Tro,#Ulysses_Tro,14
#Priam_Tro,#Andromache_Tro,1
#Priam_Tro,#Cassandra_Tro,3
#SERVANTS.PARIS.1_Tro,#ATTENDANTS.TROJAN_Tro,2
#SERVANTS.PARIS.1_Tro,#Helen_Tro,2
#SERVANTS.PARIS.1_Tro,#Paris_Tro,2
#SOLDIERS.GREEK.1_Tro,#MYRMIDONS.0.1_Tro,1
#SOLDIERS.GREEK_Tro,#SOLDIERS_Tro,1
#Thersites_Tro,#Bastard_Tro,1
#Thersites_Tro,#Calchas_Tro,10
#Troilus_Tro,#ATTENDANTS.GREEK_Tro,3
#Troilus_Tro,#ATTENDANTS.TROJAN_Tro,2
#Troilus_Tro,#Achilles_Tro,5
#Troilus_Tro,#Aeneas_Tro,13
#Troilus_Tro,#Agamemnon_Tro,5
#Troilus_Tro,#Ajax_Tro,7
#Troilus_Tro,#Andromache_Tro,3
#Troilus_Tro,#Antenor_Tro,4
#Troilus_Tro,#Calchas_Tro,7
#Troilus_Tro,#Cassandra_Tro,4
#Troilus_Tro,#Cressida_Tro,13
#Troilus_Tro,#Deiphobus_Tro,4
#Troilus_Tro,#Diomedes_Tro,13
#Troilus_Tro,#Hector_Tro,15
#Troilus_Tro,#Helenus_Tro,5
#Troilus_Tro,#Menelaus_Tro,5
#Troilus_Tro,#Nestor_Tro,6
#Troilus_Tro,#Paris_Tro,10
#Troilus_Tro,#Patroclus_Tro,3
#Troilus_Tro,#Priam_Tro,6
#Troilus_Tro,#SERVANTS.TROILUS.1_Tro,1
#Troilus_Tro,#SOLDIERS.TROJAN_Tro,2
#Troilus_Tro,#Thersites_Tro,11
#Troilus_Tro,#Trumpeter_Tro,3
#Troilus_Tro,#Ulysses_Tro,14
#Trumpeter_Tro,#Ulysses_Tro,7
#Ulysses_Tro,#Calchas_Tro,14
#Ulysses_Tro,#Thersites_Tro,12
