node1,node2,count
#ATTENDANTS.GREEK_Tro,#ATTENDANTS.TROJAN_Tro,1
#ATTENDANTS.GREEK_Tro,#Achilles_Tro,1
#ATTENDANTS.GREEK_Tro,#Agamemnon_Tro,2
#ATTENDANTS.GREEK_Tro,#Ajax_Tro,1
#ATTENDANTS.GREEK_Tro,#Antenor_Tro,1
#ATTENDANTS.GREEK_Tro,#Cressida_Tro,1
#ATTENDANTS.GREEK_Tro,#Deiphobus_Tro,1
#ATTENDANTS.GREEK_Tro,#Diomedes_Tro,3
#ATTENDANTS.GREEK_Tro,#Hector_Tro,1
#ATTENDANTS.GREEK_Tro,#Helenus_Tro,1
#ATTENDANTS.GREEK_Tro,#Menelaus_Tro,2
#ATTENDANTS.GREEK_Tro,#Nestor_Tro,2
#ATTENDANTS.GREEK_Tro,#Paris_Tro,2
#ATTENDANTS.GREEK_Tro,#Patroclus_Tro,1
#ATTENDANTS.GREEK_Tro,#SERVANTS.AENEAS.1_Tro,1
#ATTENDANTS.GREEK_Tro,#Trumpeter_Tro,2
#ATTENDANTS.GREEK_Tro,#Ulysses_Tro,2
#ATTENDANTS.TROJAN_Tro,#Achilles_Tro,1
#ATTENDANTS.TROJAN_Tro,#Ajax_Tro,1
#ATTENDANTS.TROJAN_Tro,#Hector_Tro,1
#ATTENDANTS.TROJAN_Tro,#Helen_Tro,1
#ATTENDANTS.TROJAN_Tro,#Helenus_Tro,1
#ATTENDANTS.TROJAN_Tro,#Patroclus_Tro,1
#ATTENDANTS.TROJAN_Tro,#SERVANTS.PARIS.1_Tro,1
#Achilles_Tro,#Ajax_Tro,7
#Achilles_Tro,#Calchas_Tro,2
#Achilles_Tro,#Hector_Tro,4
#Achilles_Tro,#Helenus_Tro,1
#Achilles_Tro,#MYRMIDONS.0.1_Tro,1
#Achilles_Tro,#MYRMIDONS_Tro,2
#Achilles_Tro,#Patroclus_Tro,6
#Achilles_Tro,#SERVANTS.DIOMEDES.1_Tro,1
#Achilles_Tro,#SOLDIERS.GREEK.1_Tro,2
#Achilles_Tro,#SOLDIERS.GREEK_Tro,1
#Achilles_Tro,#Thersites_Tro,4
#Aeneas_Tro,#ATTENDANTS.GREEK_Tro,3
#Aeneas_Tro,#ATTENDANTS.TROJAN_Tro,1
#Aeneas_Tro,#Achilles_Tro,1
#Aeneas_Tro,#Agamemnon_Tro,2
#Aeneas_Tro,#Ajax_Tro,1
#Aeneas_Tro,#Antenor_Tro,4
#Aeneas_Tro,#Calchas_Tro,1
#Aeneas_Tro,#Cressida_Tro,4
#Aeneas_Tro,#Deiphobus_Tro,4
#Aeneas_Tro,#Diomedes_Tro,6
#Aeneas_Tro,#Hector_Tro,1
#Aeneas_Tro,#Helenus_Tro,1
#Aeneas_Tro,#Menelaus_Tro,2
