node1,node2,n_lines,n_tokens
#Prologue_Tro,0.00,31,224
#Aeneas_Tro,1.01,120,928
#Pandarus_Tro,1.01,120,928
#Troilus_Tro,1.01,120,928
#Alexander_Tro,1.02,302,2147
#Boy_Tro,1.02,302,2147
#Cressida_Tro,1.02,302,2147
#Pandarus_Tro,1.02,302,2147
#ATTENDANTS.GREEK_Tro,1.03,399,2920
#Aeneas_Tro,1.03,399,2920
#Agamemnon_Tro,1.03,399,2920
#Diomedes_Tro,1.03,399,2920
#Menelaus_Tro,1.03,399,2920
#Nestor_Tro,1.03,399,2920
#Trumpeter_Tro,1.03,399,2920
#Ulysses_Tro,1.03,399,2920
#Achilles_Tro,2.01,134,861
#Ajax_Tro,2.01,134,861
#Patroclus_Tro,2.01,134,861
#Thersites_Tro,2.01,134,861
#Cassandra_Tro,2.02,223,1648
#Hector_Tro,2.02,223,1648
#Helenus_Tro,2.02,223,1648
#Paris_Tro,2.02,223,1648
#Priam_Tro,2.02,223,1648
#Troilus_Tro,2.02,223,1648
#Achilles_Tro,2.03,278,1940
#Agamemnon_Tro,2.03,278,1940
#Ajax_Tro,2.03,278,1940
#Calchas_Tro,2.03,278,1940
#Diomedes_Tro,2.03,278,1940
#Nestor_Tro,2.03,278,1940
#Patroclus_Tro,2.03,278,1940
#Thersites_Tro,2.03,278,1940
#Ulysses_Tro,2.03,278,1940
#ATTENDANTS.TROJAN_Tro,3.01,158,1046
#Helen_Tro,3.01,158,1046
#Pandarus_Tro,3.01,158,1046
#Paris_Tro,3.01,158,1046
#SERVANTS.PARIS.1_Tro,3.01,158,1046
#Cressida_Tro,3.02,214,1638
#Pandarus_Tro,3.02,214,1638
#SERVANTS.TROILUS.1_Tro,3.02,214,1638
#Troilus_Tro,3.02,214,1638
#Achilles_Tro,3.03,327,2341
#Agamemnon_Tro,3.03,327,2341
#Ajax_Tro,3.03,327,2341
#Calchas_Tro,3.03,327,2341
#Diomedes_Tro,3.03,327,2341
#Menelaus_Tro,3.03,327,2341
#Nestor_Tro,3.03,327,2341
#Patroclus_Tro,3.03,327,2341
#Thersites_Tro,3.03,327,2341
#Ulysses_Tro,3.03,327,2341
#ATTENDANTS.GREEK_Tro,4.01,85,618
#Aeneas_Tro,4.01,85,618
#Antenor_Tro,4.01,85,618
#Deiphobus_Tro,4.01,85,618
#Diomedes_Tro,4.01,85,618
#Paris_Tro,4.01,85,618
#SERVANTS.AENEAS.1_Tro,4.01,85,618
#Aeneas_Tro,4.02,115,857
#Cressida_Tro,4.02,115,857
#Pandarus_Tro,4.02,115,857
#Troilus_Tro,4.02,115,857
#Aeneas_Tro,4.03,13,94
#Antenor_Tro,4.03,13,94
#Deiphobus_Tro,4.03,13,94
#Diomedes_Tro,4.03,13,94
#Paris_Tro,4.03,13,94
#Troilus_Tro,4.03,13,94
#Aeneas_Tro,4.04,160,1154
#Antenor_Tro,4.04,160,1154
#Cressida_Tro,4.04,160,1154
#Deiphobus_Tro,4.04,160,1154
#Diomedes_Tro,4.04,160,1154
#Pandarus_Tro,4.04,160,1154
#Paris_Tro,4.04,160,1154
#Troilus_Tro,4.04,160,1154
#ATTENDANTS.GREEK_Tro,4.05,323,2289
#ATTENDANTS.TROJAN_Tro,4.05,323,2289
#Achilles_Tro,4.05,323,2289
#Aeneas_Tro,4.05,323,2289
#Agamemnon_Tro,4.05,323,2289
#Ajax_Tro,4.05,323,2289
#Cressida_Tro,4.05,323,2289
#Diomedes_Tro,4.05,323,2289
#Hector_Tro,4.05,323,2289
#Helenus_Tro,4.05,323,2289
#Menelaus_Tro,4.05,323,2289
#Nestor_Tro,4.05,323,2289
#Paris_Tro,4.05,323,2289
#Patroclus_Tro,4.05,323,2289
#Troilus_Tro,4.05,323,2289
