source,target,n_lines,n_tokens,edge_type
#ATTENDANTS.GREEK_Tro,4.05.0072,1,3,active
#Achilles_Tro,2.01.0015,19,91,active
#Achilles_Tro,2.01.0016,8,64,active
#Achilles_Tro,2.03.0023,9,43,active
#Achilles_Tro,2.03.0024,2,10,active
#Achilles_Tro,3.03.0045,3,19,active
#Achilles_Tro,3.03.0046,1,4,active
#Achilles_Tro,3.03.0047,3,11,active
#Achilles_Tro,3.03.0048,38,294,active
#Achilles_Tro,3.03.0049,11,81,active
#Achilles_Tro,3.03.0050,18,102,active
#Achilles_Tro,4.05.0070,1,4,active
#Achilles_Tro,4.05.0071,2,13,active
#Achilles_Tro,4.05.0072,1,3,active
#Achilles_Tro,4.05.0073,5,25,active
#Achilles_Tro,4.05.0075,18,117,active
#Achilles_Tro,5.01.0077,3,23,active
#Achilles_Tro,5.01.0078,14,100,active
#Achilles_Tro,5.01.0081,3,19,active
#Achilles_Tro,5.01.0082,2,14,active
#Achilles_Tro,5.01.0083,1,5,active
#Achilles_Tro,5.05.0116,4,27,active
#Achilles_Tro,5.06.0121,6,47,active
#Achilles_Tro,5.07.0126,8,61,active
#Achilles_Tro,5.09.0131,10,81,active
#Achilles_Tro,5.09.0132,6,46,active
#Aeneas_Tro,1.01.0004,5,30,active
#Aeneas_Tro,1.03.0012,59,444,active
#Aeneas_Tro,4.01.0052,20,141,active
#Aeneas_Tro,4.02.0057,8,66,active
#Aeneas_Tro,4.02.0058,12,84,active
#Aeneas_Tro,4.04.0065,1,6,active
#Aeneas_Tro,4.04.0066,1,4,active
#Aeneas_Tro,4.04.0069,8,53,active
#Aeneas_Tro,4.05.0073,20,144,active
#Aeneas_Tro,4.05.0074,3,18,active
#Aeneas_Tro,4.05.0075,2,7,active
#Aeneas_Tro,5.02.0093,3,25,active
#Aeneas_Tro,5.11.0135,2,18,active
#Aeneas_Tro,5.11.0136,2,12,active
#Agamemnon_Tro,1.03.0011,38,279,active
#Agamemnon_Tro,1.03.0012,28,202,active
#Agamemnon_Tro,2.03.0026,7,50,active
#Agamemnon_Tro,2.03.0028,30,225,active
#Agamemnon_Tro,2.03.0029,10,74,active
#Agamemnon_Tro,2.03.0030,12,84,active
#Agamemnon_Tro,3.03.0044,7,48,active
#Agamemnon_Tro,3.03.0045,7,52,active
#Agamemnon_Tro,4.05.0070,6,41,active
#Agamemnon_Tro,4.05.0071,3,20,active
#Agamemnon_Tro,4.05.0072,1,3,active
#Agamemnon_Tro,4.05.0073,3,14,active
#Agamemnon_Tro,4.05.0074,9,66,active
#Agamemnon_Tro,4.05.0075,16,120,active
#Agamemnon_Tro,5.01.0080,1,6,active
#Agamemnon_Tro,5.01.0081,3,20,active
#Agamemnon_Tro,5.05.0109,11,63,active
#Agamemnon_Tro,5.10.0133,1,6,active
#Agamemnon_Tro,5.10.0134,4,34,active
#Ajax_Tro,2.01.0014,17,58,active
#Ajax_Tro,2.01.0015,6,39,active
#Ajax_Tro,2.01.0016,1,5,active
#Ajax_Tro,2.01.0017,1,10,active
#Ajax_Tro,2.03.0027,4,36,active
#Ajax_Tro,2.03.0029,8,61,active
#Ajax_Tro,2.03.0030,14,93,active
#Ajax_Tro,3.03.0047,3,10,active
#Ajax_Tro,4.05.0070,6,41,active
#Ajax_Tro,4.05.0072,1,3,active
#Ajax_Tro,4.05.0074,8,61,active
#Ajax_Tro,4.05.0075,7,53,active
#Ajax_Tro,5.01.0080,2,13,active
#Ajax_Tro,5.05.0113,1,4,active
#Ajax_Tro,5.06.0117,1,7,active
#Ajax_Tro,5.06.0118,3,20,active
#Ajax_Tro,5.06.0119,1,7,active
#Ajax_Tro,5.10.0134,2,18,active
#Alexander_Tro,1.02.0005,32,248,active
#Alexander_Tro,1.02.0006,2,11,active
#Andromache_Tro,5.03.0095,4,30,active
#Andromache_Tro,5.03.0096,9,73,active
#Andromache_Tro,5.03.0097,1,6,active
#Andromache_Tro,5.03.0099,1,4,active
#Antenor_Tro,5.11.0136,1,4,active
#Bastard_Tro,5.08.0128,2,9,active
#Bastard_Tro,5.08.0129,1,5,active
#Boy_Tro,1.02.0008,2,16,active
#Calchas_Tro,3.03.0044,29,223,active
#Calchas_Tro,5.02.0086,2,6,active
#Cassandra_Tro,2.02.0019,13,92,active
#Cassandra_Tro,5.03.0096,9,58,active
#Cassandra_Tro,5.03.0099,5,36,active
#Cassandra_Tro,5.03.0100,10,73,active
#Cressida_Tro,1.02.0005,8,45,active
#Cressida_Tro,1.02.0006,56,346,active
#Cressida_Tro,1.02.0007,26,171,active
#Cressida_Tro,1.02.0009,3,13,active
#Cressida_Tro,1.02.0010,14,112,active
#Cressida_Tro,3.02.0041,15,109,active
#Cressida_Tro,3.02.0042,54,419,active
#Cressida_Tro,4.02.0054,8,53,active
#Cressida_Tro,4.02.0055,13,112,active
#Cressida_Tro,4.02.0060,20,166,active
#Cressida_Tro,4.04.0063,9,71,active
#Cressida_Tro,4.04.0064,5,25,active
#Cressida_Tro,4.04.0066,10,69,active
#Cressida_Tro,4.04.0067,1,6,active
#Cressida_Tro,4.05.0071,11,72,active
#Cressida_Tro,5.02.0088,14,89,active
#Cressida_Tro,5.02.0090,27,190,active
#Cressida_Tro,5.02.0091,6,51,active
#Deiphobus_Tro,4.01.0052,1,5,active
#Deiphobus_Tro,4.04.0069,1,5,active
#Deiphobus_Tro,5.11.0136,1,4,active
#Diomedes_Tro,2.03.0030,5,29,active
#Diomedes_Tro,3.03.0044,2,14,active
#Diomedes_Tro,4.01.0052,12,94,active
#Diomedes_Tro,4.01.0053,20,160,active
#Diomedes_Tro,4.04.0068,12,98,active
#Diomedes_Tro,4.05.0071,2,11,active
#Diomedes_Tro,4.05.0074,4,21,active
#Diomedes_Tro,5.01.0082,2,16,active
#Diomedes_Tro,5.02.0085,1,7,active
#Diomedes_Tro,5.02.0086,2,7,active
#Diomedes_Tro,5.02.0088,13,74,active
#Diomedes_Tro,5.02.0090,15,81,active
#Diomedes_Tro,5.04.0105,4,21,active
#Diomedes_Tro,5.05.0108,5,37,active
#Diomedes_Tro,5.05.0114,1,3,active
#Diomedes_Tro,5.06.0118,2,9,active
#Diomedes_Tro,5.06.0119,2,13,active
#Diomedes_Tro,5.10.0134,1,8,active
#Hector_Tro,2.02.0018,28,209,active
#Hector_Tro,2.02.0019,2,6,active
#Hector_Tro,2.02.0020,45,315,active
#Hector_Tro,4.05.0074,30,210,active
#Hector_Tro,4.05.0075,50,366,active
#Hector_Tro,5.01.0080,1,3,active
#Hector_Tro,5.01.0081,3,13,active
#Hector_Tro,5.01.0082,2,8,active
#Hector_Tro,5.03.0095,3,20,active
#Hector_Tro,5.03.0096,6,43,active
#Hector_Tro,5.03.0097,1,9,active
#Hector_Tro,5.03.0098,11,81,active
#Hector_Tro,5.03.0099,11,77,active
#Hector_Tro,5.03.0101,3,28,active
#Hector_Tro,5.04.0106,3,20,active
#Hector_Tro,5.06.0120,1,8,active
