node1,node2,count
#ATTENDANTS.OLIVIA_TN,#AndrewAguecheek_TN,2
#ATTENDANTS.OLIVIA_TN,#Malvolio_TN,5
#ATTENDANTS.OLIVIA_TN,#Maria_TN,3
#ATTENDANTS.OLIVIA_TN,#Olivia_TN,18
#ATTENDANTS.OLIVIA_TN,#Priest_TN,8
#ATTENDANTS.OLIVIA_TN,#Sebastian_TN,5
#ATTENDANTS.OLIVIA_TN,#TobyBelch_TN,2
#ATTENDANTS.ORSINO.Curio_TN,#ATTENDANTS.OLIVIA_TN,9
#ATTENDANTS.ORSINO.Curio_TN,#ATTENDANTS.ORSINO.Valentine_TN,2
#ATTENDANTS.ORSINO.Curio_TN,#ATTENDANTS.ORSINO_TN,17
#ATTENDANTS.ORSINO.Curio_TN,#AndrewAguecheek_TN,2
#ATTENDANTS.ORSINO.Curio_TN,#Antonio_TN,10
#ATTENDANTS.ORSINO.Curio_TN,#Fabian_TN,9
#ATTENDANTS.ORSINO.Curio_TN,#Feste_TN,7
#ATTENDANTS.ORSINO.Curio_TN,#MUSICIANS_TN,5
#ATTENDANTS.ORSINO.Curio_TN,#Malvolio_TN,1
#ATTENDANTS.ORSINO.Curio_TN,#OFFICERS.1_TN,10
#ATTENDANTS.ORSINO.Curio_TN,#OFFICERS.2_TN,10
#ATTENDANTS.ORSINO.Curio_TN,#Olivia_TN,9
#ATTENDANTS.ORSINO.Curio_TN,#Orsino_TN,17
#ATTENDANTS.ORSINO.Curio_TN,#Priest_TN,8
#ATTENDANTS.ORSINO.Curio_TN,#Sebastian_TN,5
#ATTENDANTS.ORSINO.Curio_TN,#TobyBelch_TN,1
#ATTENDANTS.ORSINO.Curio_TN,#Viola_TN,15
#ATTENDANTS.ORSINO.Valentine_TN,#Viola_TN,2
#ATTENDANTS.ORSINO_TN,#ATTENDANTS.OLIVIA_TN,9
#ATTENDANTS.ORSINO_TN,#ATTENDANTS.ORSINO.Valentine_TN,2
#ATTENDANTS.ORSINO_TN,#AndrewAguecheek_TN,2
#ATTENDANTS.ORSINO_TN,#Antonio_TN,10
#ATTENDANTS.ORSINO_TN,#Fabian_TN,9
#ATTENDANTS.ORSINO_TN,#Feste_TN,7
#ATTENDANTS.ORSINO_TN,#MUSICIANS_TN,6
#ATTENDANTS.ORSINO_TN,#Malvolio_TN,1
#ATTENDANTS.ORSINO_TN,#OFFICERS.1_TN,10
#ATTENDANTS.ORSINO_TN,#OFFICERS.2_TN,10
#ATTENDANTS.ORSINO_TN,#Olivia_TN,9
#ATTENDANTS.ORSINO_TN,#Orsino_TN,18
#ATTENDANTS.ORSINO_TN,#Priest_TN,8
#ATTENDANTS.ORSINO_TN,#Sebastian_TN,5
#ATTENDANTS.ORSINO_TN,#TobyBelch_TN,1
#ATTENDANTS.ORSINO_TN,#Viola_TN,16
#AndrewAguecheek_TN,#Malvolio_TN,2
#AndrewAguecheek_TN,#Maria_TN,8
#AndrewAguecheek_TN,#Sebastian_TN,3
#AndrewAguecheek_TN,#TobyBelch_TN,27
#Antonio_TN,#ATTENDANTS.OLIVIA_TN,9
#Antonio_TN,#AndrewAguecheek_TN,4
#Antonio_TN,#Malvolio_TN,1
#Antonio_TN,#OFFICERS.1_TN,11
#Antonio_TN,#OFFICERS.2_TN,11
#Antonio_TN,#Olivia_TN,9
#Antonio_TN,#Priest_TN,8
#Antonio_TN,#Sebastian_TN,7
#Antonio_TN,#TobyBelch_TN,3
#Captain_TN,#SAILORS_TN,1
#Fabian_TN,#ATTENDANTS.OLIVIA_TN,7
#Fabian_TN,#AndrewAguecheek_TN,17
#Fabian_TN,#Antonio_TN,10
#Fabian_TN,#Malvolio_TN,3
#Fabian_TN,#Maria_TN,8
#Fabian_TN,#OFFICERS.1_TN,9
#Fabian_TN,#OFFICERS.2_TN,9
#Fabian_TN,#Olivia_TN,9
#Fabian_TN,#Priest_TN,6
#Fabian_TN,#Sebastian_TN,6
#Fabian_TN,#TobyBelch_TN,23
#Feste_TN,#ATTENDANTS.OLIVIA_TN,11
#Feste_TN,#AndrewAguecheek_TN,7
#Feste_TN,#Antonio_TN,5
#Feste_TN,#Fabian_TN,7
#Feste_TN,#Malvolio_TN,7
#Feste_TN,#Maria_TN,8
#Feste_TN,#OFFICERS.1_TN,5
#Feste_TN,#OFFICERS.2_TN,5
#Feste_TN,#Olivia_TN,11
#Feste_TN,#Priest_TN,5
#Feste_TN,#Sebastian_TN,6
#Feste_TN,#TobyBelch_TN,10
#MUSICIANS_TN,#ATTENDANTS.ORSINO.Valentine_TN,1
#MUSICIANS_TN,#Feste_TN,1
#MUSICIANS_TN,#Orsino_TN,6
#MUSICIANS_TN,#Viola_TN,4
#Malvolio_TN,#ATTENDANTS.OLIVIA.1_TN,1
#Malvolio_TN,#Maria_TN,7
#Maria_TN,#ATTENDANTS.OLIVIA.1_TN,1
#OFFICERS.1_TN,#ATTENDANTS.OLIVIA_TN,9
#OFFICERS.1_TN,#AndrewAguecheek_TN,3
#OFFICERS.1_TN,#Malvolio_TN,1
#OFFICERS.1_TN,#OFFICERS.2_TN,11
#OFFICERS.1_TN,#Olivia_TN,9
#OFFICERS.1_TN,#Priest_TN,8
#OFFICERS.1_TN,#Sebastian_TN,5
#OFFICERS.1_TN,#TobyBelch_TN,2
#OFFICERS.2_TN,#ATTENDANTS.OLIVIA_TN,9
#OFFICERS.2_TN,#AndrewAguecheek_TN,3
#OFFICERS.2_TN,#Malvolio_TN,1
#OFFICERS.2_TN,#Olivia_TN,9
#OFFICERS.2_TN,#Priest_TN,8
#OFFICERS.2_TN,#Sebastian_TN,5
#OFFICERS.2_TN,#TobyBelch_TN,2
#Olivia_TN,#ATTENDANTS.OLIVIA.1_TN,1
#Olivia_TN,#AndrewAguecheek_TN,4
#Olivia_TN,#Malvolio_TN,9
#Olivia_TN,#Maria_TN,9
#Olivia_TN,#Priest_TN,9
#Olivia_TN,#Sebastian_TN,8
#Olivia_TN,#TobyBelch_TN,5
#Orsino_TN,#ATTENDANTS.OLIVIA_TN,9
#Orsino_TN,#ATTENDANTS.ORSINO.Valentine_TN,2
#Orsino_TN,#AndrewAguecheek_TN,2
#Orsino_TN,#Antonio_TN,10
#Orsino_TN,#Fabian_TN,9
#Orsino_TN,#Feste_TN,7
#Orsino_TN,#Malvolio_TN,1
#Orsino_TN,#OFFICERS.1_TN,10
#Orsino_TN,#OFFICERS.2_TN,10
#Orsino_TN,#Olivia_TN,9
#Orsino_TN,#Priest_TN,8
#Orsino_TN,#Sebastian_TN,5
#Orsino_TN,#TobyBelch_TN,1
#Orsino_TN,#Viola_TN,17
#Priest_TN,#AndrewAguecheek_TN,2
#Priest_TN,#Malvolio_TN,1
#Priest_TN,#Sebastian_TN,6
#Priest_TN,#TobyBelch_TN,1
#Sebastian_TN,#Malvolio_TN,1
#TobyBelch_TN,#Malvolio_TN,4
#TobyBelch_TN,#Maria_TN,16
#TobyBelch_TN,#Sebastian_TN,3
#Viola_TN,#ATTENDANTS.OLIVIA_TN,10
#Viola_TN,#AndrewAguecheek_TN,8
#Viola_TN,#Antonio_TN,12
#Viola_TN,#Captain_TN,1
#Viola_TN,#Fabian_TN,16
#Viola_TN,#Feste_TN,8
#Viola_TN,#Malvolio_TN,2
#Viola_TN,#Maria_TN,3
#Viola_TN,#OFFICERS.1_TN,11
#Viola_TN,#OFFICERS.2_TN,11
#Viola_TN,#Olivia_TN,15
#Viola_TN,#Priest_TN,8
#Viola_TN,#SAILORS_TN,1
#Viola_TN,#Sebastian_TN,5
#Viola_TN,#TobyBelch_TN,9
