act,scene,stagegroup,node,n_tokens_speaker,n_lines_speaker,n_tokens_onstage,n_lines_onstage
1,1,1,#ATTENDANTS.ORSINO.Curio_TN,8,2,168,24
1,1,1,#Orsino_TN,160,22,168,24
1,1,2,#ATTENDANTS.ORSINO.Valentine_TN,70,9,153,19
1,1,2,#Orsino_TN,83,10,153,19
1,2,3,#Captain_TN,239,32,481,67
1,2,3,#Viola_TN,242,35,481,67
1,3,4,#Maria_TN,148,20,336,43
1,3,4,#TobyBelch_TN,188,23,336,43
1,3,5,#AndrewAguecheek_TN,105,18,208,36
1,3,5,#Maria_TN,66,11,208,36
1,3,5,#TobyBelch_TN,37,7,208,36
1,3,6,#AndrewAguecheek_TN,230,30,465,60
1,3,6,#TobyBelch_TN,235,30,465,60
1,4,7,#ATTENDANTS.ORSINO.Valentine_TN,32,5,60,9
1,4,7,#Viola_TN,28,4,60,9
1,4,8,#Orsino_TN,200,27,267,37
1,4,8,#Viola_TN,67,10,267,37
1,5,9,#Feste_TN,101,12,233,29
1,5,9,#Maria_TN,132,17,233,29
1,5,10,#Feste_TN,299,37,530,68
1,5,10,#Malvolio_TN,95,11,530,68
1,5,10,#Olivia_TN,136,20,530,68
1,5,11,#Maria_TN,32,5,60,9
1,5,11,#Olivia_TN,28,4,60,9
1,5,12,#Olivia_TN,24,3,24,3
1,5,13,#Feste_TN,35,4,48,6
1,5,13,#Olivia_TN,13,2,48,6
1,5,14,#Feste_TN,3,1,79,13
1,5,14,#Olivia_TN,32,6,79,13
1,5,14,#TobyBelch_TN,44,6,79,13
1,5,15,#Feste_TN,40,5,73,9
1,5,15,#Olivia_TN,33,4,73,9
1,5,16,#Malvolio_TN,172,22,204,27
1,5,16,#Olivia_TN,32,5,204,27
1,5,17,#Olivia_TN,16,2,16,2
1,5,18,#Maria_TN,9,1,435,54
1,5,18,#Olivia_TN,144,20,435,54
1,5,18,#Viola_TN,282,33,435,54
1,5,19,#Olivia_TN,273,37,542,75
1,5,19,#Viola_TN,269,38,542,75
1,5,20,#Olivia_TN,81,12,81,12
1,5,21,#Malvolio_TN,8,2,70,9
1,5,21,#Olivia_TN,62,7,70,9
1,5,22,#Olivia_TN,37,4,37,4
2,1,23,#Antonio_TN,47,8,353,42
2,1,23,#Sebastian_TN,306,34,353,42
2,1,24,#Antonio_TN,42,5,42,5
2,2,25,#Malvolio_TN,113,13,136,16
2,2,25,#Viola_TN,23,3,136,16
2,2,26,#Viola_TN,208,25,208,25
2,3,27,#AndrewAguecheek_TN,33,4,115,14
2,3,27,#TobyBelch_TN,82,10,115,14
2,3,28,#AndrewAguecheek_TN,171,25,398,58
2,3,28,#Feste_TN,158,23,398,58
2,3,28,#TobyBelch_TN,69,10,398,58
2,3,29,#AndrewAguecheek_TN,27,3,110,14
2,3,29,#Feste_TN,7,1,110,14
2,3,29,#Maria_TN,34,4,110,14
2,3,29,#TobyBelch_TN,42,6,110,14
2,3,30,#Feste_TN,40,6,287,37
2,3,30,#Malvolio_TN,162,20,287,37
2,3,30,#Maria_TN,4,1,287,37
2,3,30,#TobyBelch_TN,81,10,287,37
2,3,31,#AndrewAguecheek_TN,74,10,418,52
2,3,31,#Maria_TN,271,31,418,52
2,3,31,#TobyBelch_TN,73,11,418,52
2,3,32,#AndrewAguecheek_TN,35,6,93,14
2,3,32,#TobyBelch_TN,58,8,93,14
2,4,33,#ATTENDANTS.ORSINO.Curio_TN,33,5,89,15
2,4,33,#Orsino_TN,56,10,89,15
2,4,34,#Orsino_TN,178,25,226,33
2,4,34,#Viola_TN,48,8,226,33
2,4,35,#Feste_TN,177,27,251,39
2,4,35,#Orsino_TN,74,12,251,39
2,4,36,#Orsino_TN,6,1,6,1
2,4,37,#Orsino_TN,184,26,378,50
2,4,37,#Viola_TN,194,24,378,50
2,5,38,#AndrewAguecheek_TN,10,1,90,11
2,5,38,#Fabian_TN,38,4,90,11
2,5,38,#TobyBelch_TN,42,6,90,11
2,5,39,#Maria_TN,67,8,78,10
2,5,39,#TobyBelch_TN,11,2,78,10
2,5,40,#AndrewAguecheek_TN,39,7,1117,162
2,5,40,#Fabian_TN,138,24,1117,162
2,5,40,#Malvolio_TN,842,109,1117,162
2,5,40,#TobyBelch_TN,98,22,1117,162
2,5,41,#AndrewAguecheek_TN,7,2,46,7
2,5,41,#Fabian_TN,20,2,46,7
2,5,41,#TobyBelch_TN,19,3,46,7
2,5,42,#AndrewAguecheek_TN,13,3,161,22
2,5,42,#Fabian_TN,5,1,161,22
2,5,42,#Maria_TN,86,10,161,22
2,5,42,#TobyBelch_TN,57,8,161,22
3,1,43,#Feste_TN,324,39,472,60
3,1,43,#Viola_TN,148,21,472,60
3,1,44,#Viola_TN,77,9,77,9
3,1,45,#AndrewAguecheek_TN,13,2,104,16
3,1,45,#TobyBelch_TN,36,5,104,16
3,1,45,#Viola_TN,55,9,104,16
3,1,46,#AndrewAguecheek_TN,19,4,56,10
3,1,46,#Olivia_TN,12,2,56,10
3,1,46,#Viola_TN,25,4,56,10
3,1,47,#Olivia_TN,414,54,579,77
3,1,47,#Viola_TN,165,23,579,77
3,2,48,#AndrewAguecheek_TN,86,11,420,51
3,2,48,#Fabian_TN,152,19,420,51
3,2,48,#TobyBelch_TN,182,21,420,51
3,2,49,#Fabian_TN,36,5,103,13
3,2,49,#TobyBelch_TN,67,8,103,13
3,2,50,#Maria_TN,136,15,154,18
3,2,50,#TobyBelch_TN,18,3,154,18
3,3,51,#Antonio_TN,258,34,396,54
3,3,51,#Sebastian_TN,138,20,396,54
3,4,52,#Maria_TN,42,5,104,15
3,4,52,#Olivia_TN,62,10,104,15
3,4,53,#Olivia_TN,13,2,13,2
3,4,54,#Malvolio_TN,146,26,230,45
3,4,54,#Maria_TN,14,3,230,45
3,4,54,#Olivia_TN,70,16,230,45
3,4,55,#ATTENDANTS.OLIVIA.1_TN,21,3,25,4
3,4,55,#Olivia_TN,4,1,25,4
3,4,56,#Olivia_TN,35,5,35,5
3,4,57,#Malvolio_TN,193,21,193,21
3,4,58,#Fabian_TN,40,5,297,44
3,4,58,#Malvolio_TN,49,10,297,44
3,4,58,#Maria_TN,93,14,297,44
3,4,58,#TobyBelch_TN,115,15,297,44
3,4,59,#Fabian_TN,23,3,123,16
3,4,59,#Maria_TN,17,3,123,16
3,4,59,#TobyBelch_TN,83,10,123,16
3,4,60,#AndrewAguecheek_TN,28,4,297,41
3,4,60,#Fabian_TN,45,9,297,41
3,4,60,#Maria_TN,23,3,297,41
3,4,60,#TobyBelch_TN,201,25,297,41
3,4,61,#TobyBelch_TN,118,13,118,13
3,4,62,#Fabian_TN,17,2,29,4
3,4,62,#TobyBelch_TN,12,2,29,4
3,4,63,#Olivia_TN,113,14,139,18
3,4,63,#Viola_TN,26,4,139,18
3,4,64,#TobyBelch_TN,229,28,348,42
3,4,64,#Viola_TN,119,14,348,42
3,4,65,#Fabian_TN,80,10,130,15
3,4,65,#Viola_TN,50,5,130,15
3,4,66,#AndrewAguecheek_TN,47,6,157,19
3,4,66,#TobyBelch_TN,110,13,157,19
3,4,67,#AndrewAguecheek_TN,6,2,172,23
3,4,67,#Fabian_TN,27,4,172,23
3,4,67,#TobyBelch_TN,112,13,172,23
3,4,67,#Viola_TN,27,4,172,23
3,4,68,#Antonio_TN,46,5,62,7
3,4,68,#TobyBelch_TN,16,2,62,7
3,4,69,#AndrewAguecheek_TN,25,3,411,60
3,4,69,#Antonio_TN,205,29,411,60
3,4,69,#Fabian_TN,9,1,411,60
3,4,69,#OFFICERS.1_TN,53,7,411,60
3,4,69,#OFFICERS.2_TN,19,4,411,60
3,4,69,#TobyBelch_TN,5,1,411,60
3,4,69,#Viola_TN,95,15,411,60
3,4,70,#TobyBelch_TN,17,2,95,12
3,4,70,#Viola_TN,78,10,95,12
3,4,71,#AndrewAguecheek_TN,12,2,75,12
3,4,71,#Fabian_TN,14,3,75,12
3,4,71,#TobyBelch_TN,49,7,75,12
4,1,72,#Feste_TN,143,16,189,23
4,1,72,#Sebastian_TN,46,7,189,23
4,1,73,#AndrewAguecheek_TN,10,2,51,8
4,1,73,#Feste_TN,18,2,51,8
4,1,73,#Sebastian_TN,13,2,51,8
4,1,73,#TobyBelch_TN,10,2,51,8
4,1,74,#AndrewAguecheek_TN,38,4,104,14
4,1,74,#Sebastian_TN,23,4,104,14
4,1,74,#TobyBelch_TN,43,6,104,14
4,1,75,#Olivia_TN,40,7,41,8
4,1,75,#TobyBelch_TN,1,1,41,8
4,1,76,#Olivia_TN,87,12,127,17
4,1,76,#Sebastian_TN,40,5,127,17
4,2,77,#Maria_TN,28,3,28,3
4,2,78,#Feste_TN,72,8,72,8
4,2,79,#Feste_TN,56,7,72,10
4,2,79,#TobyBelch_TN,16,3,72,10
4,2,80,#Feste_TN,166,24,376,54
4,2,80,#Malvolio_TN,125,19,376,54
4,2,80,#Maria_TN,14,2,376,54
4,2,80,#TobyBelch_TN,71,9,376,54
4,2,81,#Feste_TN,218,33,393,58
4,2,81,#Malvolio_TN,175,25,393,58
4,3,82,#Sebastian_TN,181,22,181,22
4,3,83,#Olivia_TN,98,13,115,15
4,3,83,#Sebastian_TN,17,2,115,15
5,1,84,#Fabian_TN,24,4,38,6
5,1,84,#Feste_TN,14,2,38,6
5,1,85,#Feste_TN,228,26,329,39
5,1,85,#Orsino_TN,101,13,329,39
5,1,86,#Antonio_TN,179,25,367,50
5,1,86,#OFFICERS.1_TN,47,6,367,50
5,1,86,#Orsino_TN,104,14,367,50
5,1,86,#Viola_TN,37,5,367,50
5,1,87,#Olivia_TN,140,20,417,62
5,1,87,#Orsino_TN,199,31,417,62
5,1,87,#Viola_TN,78,11,417,62
5,1,88,#Olivia_TN,53,8,165,24
5,1,88,#Orsino_TN,50,6,165,24
5,1,88,#Priest_TN,57,9,165,24
5,1,88,#Viola_TN,5,1,165,24
5,1,89,#AndrewAguecheek_TN,107,14,146,20
5,1,89,#Olivia_TN,9,2,146,20
5,1,89,#Orsino_TN,3,1,146,20
5,1,89,#Viola_TN,27,3,146,20
5,1,90,#AndrewAguecheek_TN,36,5,129,17
5,1,90,#Feste_TN,17,2,129,17
5,1,90,#Olivia_TN,21,3,129,17
5,1,90,#Orsino_TN,8,1,129,17
5,1,90,#TobyBelch_TN,47,6,129,17
5,1,91,#Antonio_TN,26,4,538,73
5,1,91,#Olivia_TN,6,2,538,73
5,1,91,#Orsino_TN,74,9,538,73
5,1,91,#Sebastian_TN,241,32,538,73
5,1,91,#Viola_TN,191,26,538,73
5,1,92,#Fabian_TN,95,10,278,38
5,1,92,#Feste_TN,112,15,278,38
5,1,92,#Olivia_TN,65,12,278,38
5,1,92,#Orsino_TN,6,1,278,38
5,1,93,#Olivia_TN,45,7,102,15
5,1,93,#Orsino_TN,57,8,102,15
5,1,94,#Fabian_TN,99,14,421,57
5,1,94,#Feste_TN,67,8,421,57
5,1,94,#Malvolio_TN,144,19,421,57
5,1,94,#Olivia_TN,107,15,421,57
5,1,94,#Orsino_TN,4,1,421,57
5,1,95,#Olivia_TN,6,1,76,10
5,1,95,#Orsino_TN,70,9,76,10
5,1,96,#Feste_TN,148,20,148,20
