node,node_type
#ATTENDANTS.OLIVIA.1_TN,character
#ATTENDANTS.OLIVIA_TN,character
#ATTENDANTS.ORSINO.Curio_TN,character
#ATTENDANTS.ORSINO.Valentine_TN,character
#ATTENDANTS.ORSINO_TN,character
#AndrewAguecheek_TN,character
#Antonio_TN,character
#Captain_TN,character
#Fabian_TN,character
#Feste_TN,character
#MUSICIANS_TN,character
#Malvolio_TN,character
#Maria_TN,character
#OFFICERS.1_TN,character
#OFFICERS.2_TN,character
#Olivia_TN,character
#Orsino_TN,character
#Priest_TN,character
#SAILORS_TN,character
#Sebastian_TN,character
#TobyBelch_TN,character
#Viola_TN,character
1.01.0001,text_unit
1.01.0002,text_unit
1.02.0003,text_unit
1.03.0004,text_unit
1.03.0005,text_unit
1.03.0006,text_unit
1.04.0007,text_unit
1.04.0008,text_unit
1.05.0009,text_unit
1.05.0010,text_unit
1.05.0011,text_unit
1.05.0012,text_unit
1.05.0013,text_unit
1.05.0014,text_unit
1.05.0015,text_unit
1.05.0016,text_unit
1.05.0017,text_unit
1.05.0018,text_unit
1.05.0019,text_unit
1.05.0020,text_unit
1.05.0021,text_unit
1.05.0022,text_unit
2.01.0023,text_unit
2.01.0024,text_unit
2.02.0025,text_unit
2.02.0026,text_unit
2.03.0027,text_unit
2.03.0028,text_unit
2.03.0029,text_unit
2.03.0030,text_unit
2.03.0031,text_unit
2.03.0032,text_unit
2.04.0033,text_unit
2.04.0034,text_unit
2.04.0035,text_unit
2.04.0036,text_unit
2.04.0037,text_unit
2.05.0038,text_unit
2.05.0039,text_unit
2.05.0040,text_unit
2.05.0041,text_unit
2.05.0042,text_unit
3.01.0043,text_unit
3.01.0044,text_unit
3.01.0045,text_unit
3.01.0046,text_unit
3.01.0047,text_unit
3.02.0048,text_unit
3.02.0049,text_unit
3.02.0050,text_unit
3.03.0051,text_unit
3.04.0052,text_unit
3.04.0053,text_unit
3.04.0054,text_unit
3.04.0055,text_unit
3.04.0056,text_unit
3.04.0057,text_unit
3.04.0058,text_unit
3.04.0059,text_unit
3.04.0060,text_unit
3.04.0061,text_unit
3.04.0062,text_unit
3.04.0063,text_unit
3.04.0064,text_unit
3.04.0065,text_unit
3.04.0066,text_unit
3.04.0067,text_unit
3.04.0068,text_unit
3.04.0069,text_unit
3.04.0070,text_unit
3.04.0071,text_unit
4.01.0072,text_unit
4.01.0073,text_unit
4.01.0074,text_unit
4.01.0075,text_unit
4.01.0076,text_unit
4.02.0077,text_unit
4.02.0078,text_unit
4.02.0079,text_unit
4.02.0080,text_unit
4.02.0081,text_unit
4.03.0082,text_unit
4.03.0083,text_unit
5.01.0084,text_unit
5.01.0085,text_unit
5.01.0086,text_unit
5.01.0087,text_unit
5.01.0088,text_unit
5.01.0089,text_unit
5.01.0090,text_unit
5.01.0091,text_unit
5.01.0092,text_unit
5.01.0093,text_unit
5.01.0094,text_unit
5.01.0095,text_unit
5.01.0096,text_unit
